    year                       theme             artist                      mintage  issue price
0   2000                 steam buggy        john mardon                        44367        59.95
1   2000                the bluenose  j franklin wright      included in steam buggy        59.95
2   2000                 the toronto        john mardon      included in steam buggy        59.95
3   2001      the russell light four        john mardon                        41828        59.95
4   2001              the marco polo  j franklin wright      included in the russell        59.95
5   2001                  the scotia         don curley      included in the russell        59.95
6   2002             the gray - dort        john mardon                        35944        59.95
7   2002        the william lawrence        bonnie ross  included in the gray - dort        59.95
8   2002           d - 10 locomotive           dan fell  included in the gray - dort        59.95
9   2003               hmcs bras dor         don curley                        31997        59.95
10  2003  cnr fa - 1 diesel electric        john mardon    included in hmcs bras dor        59.95
11  2003             bricklin sv - 1       brian hughes    included in hmcs bras dor        59.95
