   round                                                   race                        circuit          date        event                 winning driver
0      1                            int adac - preis hockenheim                 hockenheimring      19 april  sprint race        uwe alzen manuel reuter
1      2                               60. int adac eifelrennen                    nürburgring        10 may  sprint race     roland asch johnny cecotto
2      3                                            sachsenring                    sachsenring        24 may  sprint race  johnny cecotto johnny cecotto
3      4                                200 meilen von nürnberg                      norisring        6 july  sprint race  jörg van ommen laurent aiello
4      5                              adac - regio - preis lahr                   regio - ring       19 july  sprint race    uwe alzen gabriele tarquini
5      6                         35. int adac - flugplatzrennen                       wunstorf      2 august  sprint race   laurent aiello manuel reuter
6      7                         int adac preis von zweibrücken                    zweibrücken     16 august  sprint race  johnny cecotto johnny cecotto
7      8                                  int adac alpentrophäe                   salzburgring     30 august  sprint race  laurent aiello laurent aiello
8      9  int adac - preis der tourenwagen von sachsen - anhalt  motorsport arena oschersleben  13 september  sprint race  laurent aiello laurent aiello
9     10                          25. adac bilstein supersprint                    nürburgring     4 october  sprint race      manuel reuter eric hélary
