     res   record         opponent                         method                                              event  round   time                                     location
0   loss  22 - 11     matt horwich                  tko (punches)                                            ksw xxi      2   4:08                              warsaw , poland
1    win  22 - 10       allen hope       tko (punches and elbows)                                             mfc 31      1   2:13                  edmonton , alberta , canada
2   loss  21 - 10     douglas lima                  tko (punches)                                    mfc 29: conquer      1   1:14                   windsor , ontario , canada
3    win   21 - 9      josh martin                  tko (punches)             nemesis fighting : mma global invasion      1   1:27              punta cana , dominican republic
4    win   20 - 9      jorge ortiz               decision (split)  powerhouse world promotions : war on the mainland      3   5:00          irvine , california , united states
5    win   19 - 9  ted worthington           decision (unanimous)                   king of the cage : turbulence ii      3   5:00  lac du flambeau , wisconsin , united states
6   loss   18 - 9    julio paulino                     ko (punch)                                    arena rumble ii      3   3:40         spokane , washington , united states
7   loss   18 - 8     zak cummings           decision (unanimous)                           xcf : rumble in racetown      3   5:00            daytona , florida , united states
8   loss   18 - 7      scott smith                     ko (punch)                          strikeforce : destruction      1   0:24        san jose , california , united states
9    win   18 - 6      cory devela                     ko (punch)                    strikeforce : at the mansion ii      3   2:08   beverly hills , california , united states
10  loss   17 - 6    vitor belfort                   ko (punches)                                affliction : banned      2   3:12         anaheim , california , united states
11   win   17 - 5     daiju takase               dq (groin kicks)                   adrenaline mma : guida vs russow      2   3:35           chicago , illinois , united states
12  loss   16 - 5   marvin eastman           decision (unanimous)                                             ufc 81      3   5:00           las vegas , nevada , united states
13  loss   16 - 4      chris leben                     ko (punch)                                 ufc fight night 11      3   3:56           las vegas , nevada , united states
14   win   16 - 3   ivan salaverry         tko (slam and punches)                                             ufc 71      1   2:04           las vegas , nevada , united states
15   win   15 - 3     jorge rivera                   ko (punches)                                             ufc 67      1   0:14           las vegas , nevada , united states
16   win   14 - 3      jason guida                     ko (punch)                                             xfo 13      3   0:08   hoffman estates , illinois , united states
17   win   13 - 3      keith berry                  tko (punches)                                             wec 24      1   2:52         lemoore , california , united states
18  loss   12 - 3    jason lambert                  tko (punches)                                             ufc 59      2   2:37         anaheim , california , united states
19   win   12 - 2   trevor garrett                     ko (punch)                     kotc : redemption on the river      1   1:40            moline , illinois , united states
20   win   11 - 2       ron fields  submission (guillotine choke)                                 kotc : raging bull      2   2:37             cleveland , ohio , united states
21  loss   10 - 2      james irvin               ko (flying knee)                                             ufc 54      2   0:09           las vegas , nevada , united states
22   win   10 - 1    jerry spiegel                  tko (punches)                   combat : do fighting challenge 3      2   1:55                     illinois , united states
23   win    9 - 1      homer moore           submission (punches)                                  wec 14: vengeance      2   3:14         lemoore , california , united states
24   win    8 - 1    jerry spiegel                     tko (knee)                   combat : do fighting challenge 2      1   1:09                     illinois , united states
25   win    7 - 1     chael sonnen          tko (corner stoppage)                     xtreme fighting organization 4      2   5:00           mchenry , illinois , united states
26   win    6 - 1     jeff gerlick  submission (guillotine choke)                   combat : do fighting challenge 1      1   2:58            cicero , illinois , united states
27   win    5 - 1     william hill                   ko (punches)                     xtreme fighting organization 3      3   0:19           mchenry , illinois , united states
28   win    4 - 1     william hill                   ko (punches)                                ihc 7: the crucible      2   2:57            hammond , indiana , united states
29   win    3 - 1    greg franklin           submission (keylock)                               extreme challenge 54      1   2:27          lakemoor , illinois , united states
30   win    2 - 1       ron fields  submission (rear naked choke)                               extreme challenge 51      1  10:00        st charles , illinois , united states
31   win    1 - 1        rob smith                       decision                              silverback classic 16      3   5:00            canton , illinois , united states
32  loss    0 - 1   stephan bonnar           decision (unanimous)                         maximum fighting challenge      1  10:00            hammond , indiana , united states
