         episode                     theme                              song choice              original artist  order    result
0       audition      auditioner 's choice                          uomini semplici         eduardo de crescenzo  n / a  advanced
1       bootcamp      auditioner 's choice                         la luce dell'est               lucio battisti  n / a  advanced
2       bootcamp      auditioner 's choice                       we can work it out                  the beatles  n / a  advanced
3       bootcamp      auditioner 's choice  (you make me feel like) a natural woman              aretha franklin  n / a  advanced
4       bootcamp      auditioner 's choice                           i'm outta love                    anastacia  n / a  advanced
5    live show 1          mentor 's choice                        man in the mirror              michael jackson      5      safe
6    live show 2          mentor 's choice                          l'amore si odia  noemi feat fiorella mannoia      2      safe
7    live show 3            1980s in music                                notorious                  duran duran      1      safe
8    live show 4          mentor 's choice                            psycho killer                talking heads      6      safe
9    live show 5          mentor 's choice                my baby just cares for me                  nina simone      4      safe
10   live show 6          mentor 's choice                           ashes to ashes                  david bowie      5      safe
11   live show 7          mentor 's choice                           helter skelter                  the beatles      3      safe
12   live show 8          mentor 's choice                    insieme a te sto bene               lucio battisti      2      safe
13   live show 8           acappella songs                           l'appuntamento               ornella vanoni     12      safe
14   live show 9    sanremo music festival                  almeno tu nell'universo                  mia martini      6      safe
15  live show 10  italian - language songs                             onda su onda                  bruno lauzi      1      safe
16  live show 10           michael jackson                              billie jean              michael jackson     11      safe
17  live show 11          mentor 's choice                                     kiss    prince and the revolution      5      safe
18  live show 11          mentor 's choice                       il nostro concerto                umberto bindi      6      safe
19  live show 12          mentor 's choice                            back in black                      ac / dc      4      safe
20  live show 12           acappella songs                               senza fine                   gino paoli      5      safe
21  live show 12            winner 's song                             dove si vola                marco mengoni     12      safe
22         final           celebrity duets          oggi sono io (with alex britti)                  alex britti      3      safe
23         final          mentor 's choice                            amore assurdo                       morgan      5      safe
24         final            winner 's song                             dove si vola                marco mengoni      7      safe
