                           team              car (s)   -                        driver (s)                  primary sponsor (s)            owner (s)         crew chief  rounds
0       biagi - denbeste racing         ford mustang  98                kevin swindell (r)               carroll shelby engines            mike curb         jon hanson      11
1        creation - cope racing     chevrolet camaro  73                      derrike cope                                n / a         derrike cope   jacob richardson       4
2           deware racing group         ford mustang  86                      kevin lepage                                qello         scott deware     larry balsitis       3
3              joe gibbs racing         toyota camry  18                      matt kenseth                  reser 's / gamestop            joe gibbs         matt lucas      14
4                jr motorsports     chevrolet camaro  88               dale earnhardt , jr                         taxslayercom  dale earnhardt , jr     ryan pemberton       4
5                kh motorsports         ford mustang  92                 dexter stacey (r)                      maddie 's place      kristin hamelin       david ingram      18
6              make motorsports  chevrolet silverado  50                      danny efland                       defiant whisky          mark beaver     perry mitchell       5
7                ml motorsports     chevrolet impala  70                      johanna long                foretravel motorcoach   mary louise miller     mark gutekunst      21
8   nemco - jay robinson racing         toyota camry  70                       tony raines                                n / a   mary louise miller       jay robinson      15
9                r3 motorsports     chevrolet camaro  23            robert richardson , jr                              stalkit    robert richardson     tony eury , jr      12
10     richard childress racing     chevrolet camaro  21                  dakoda armstrong                   winfield / muddcom    richard childress        scott naset       9
11             rick ware racing         ford mustang  15                         carl long                                qolix            rick ware  sterling laughlin      18
12             rick ware racing         ford mustang  23                donnie neuenberger                                n / a    robert richardson      george church      16
13          roush fenway racing         ford mustang  16        chris buescher / ryan reed        american diabetes association           jack roush       seth barbour      11
14     shepherd racing ventures     dodge challenger  89                   morgan shepherd                    malamphy electric      morgan shepherd      mike malamphy      15
15                     team slr     chevrolet impala   8  scott lagasse , jr / ryan preece  hybridlight / boy scouts of america        scott lagasse       brad parrott      19
16        the motorsports group     chevrolet camaro  42                         josh wise                  curtis key plumbing           curtis key        mike sroufe      25
17        the motorsports group     chevrolet camaro  46                         j j yeley                  curtis key plumbing           curtis key        david jones      20
18        the motorsports group     chevrolet camaro  47                          t j bell                  curtis key plumbing           curtis key      steve maynard       5
19     turner scott motorsports     chevrolet camaro  34                        jeb burton                 arrowhead cigarettes     harry scott , jr         mike greci       5
20                vision racing         toyota camry  17                  tanner berryhill               keller williams realty     adrian berryhill       benny gordon       6
21                vision racing         toyota camry  37                  matt dibenedetto               nationalcashlenderscom       tina berryhill   adrian berryhill       8
