    rank          nation  gold  silver  bronze  total
0      1   great britain    17      10       7     34
1      2    soviet union    16      14       8     38
2      3          russia    12       5       5     22
3      4  czechoslovakia     4       0       0      4
4      5          canada     3      10      11     24
5      6          france     3       6       4     13
6      7   united states     2       9      17     28
7      8        bulgaria     2       1       1      4
8      9         hungary     1       1       1      3
9      9           italy     1       1       1      3
10    11         germany     0       3       2      5
11    12         finland     0       1       1      2
12    13          israel     0       0       1      1
13    13       lithuania     0       0       1      1
14    13         ukraine     0       0       1      1
