    draft  round  pick                 nationality              college / high school / club
0    1995      1     7           usa united states                                   arizona
1    1995      2    35           usa united states                                  michigan
2    1996      1     2           usa united states                             massachusetts
3    1997      1     9           usa united states                 mt zion christian academy
4    1998      1     4           usa united states                            north carolina
5    1998      2    47           usa united states                              rhode island
6    1999      1     5           usa united states             picayune memorial high school
7    1999      1    12              yug yugoslavia                          barton county cc
8    2000      1    21           usa united states                            michigan state
9    2000      2    46           usa united states                   college of the sequoias
10   2001      1    17           usa united states                                 villanova
11   2002      1    20           usa united states                                  missouri
12   2003      1     4           usa united states                              georgia tech
13   2003      2    52             nld netherlands                    fc barcelona ( spain )
14   2004      1     8                  bra brazil                             brigham young
15   2004      2    39                   esp spain                   roseto basket ( italy )
16   2005      1     7           usa united states                               connecticut
17   2005      1    16           usa united states                            oklahoma state
18   2005      2    41                 cro croatia  kk split ( croatia and adriatic league )
19   2005      2    58                slo slovenia                        pa udine ( italy )
20   2006      1     1                   ita italy                benetton treviso ( italy )
21   2006      2    35           usa united states                                     texas
22   2006      2    56  bih bosnia and herzegovina       kk bosna ( bosnia and herzegovina )
23   2008      1    17           usa united states                                georgetown
24   2009      1     9           usa united states                                       usc
25   2010      1    13           usa united states                            north carolina
26   2011      1     5         lithuania lithuania              lietuvos rytas ( lithuania )
27   2012      1     8           usa united states                                washington
28   2012      2    37           usa united states                                    baylor
29   2012      2    56             croatia croatia                 cibona zagreb ( croatia )
