    rank          nation  gold  silver  bronze  total
0      1          russia     9      11       9     29
1      2   united states    13       8       3     24
2      3          canada     0       3       7     10
3      4           china     6       2       1      9
4      5           japan     3       0       3      6
5      5         ukraine     2       3       1      6
6      5         germany     0       4       2      6
7      6     switzerland     1       1       1      3
8      6          france     0       1       2      3
9      6         hungary     0       1       2      3
10     7         finland     1       0       1      2
11     7  czech republic     0       1       1      2
12     8          poland     1       0       0      1
13     8        slovakia     0       1       0      1
14     8       australia     0       0       1      1
15     8         estonia     0       0       1      1
16     8  chinese taipei     0       0       1      1
