                                        race name                   circuit          date        winning driver              constructor  report
0                     iii gran premio di siracusa                  syracuse      22 march  toulo de graffenried                 maserati  report
1                              xiv pau grand prix                       pau       6 april        alberto ascari                  ferrari  report
2                                    v lavant cup                  goodwood       6 april  toulo de graffenried                 maserati  report
3             ii aston martin owners club f2 race                snetterton      18 april         eric thompson  connaught - lea francis  report
4                      iii grand prix de bordeaux                  bordeaux         3 may        alberto ascari                  ferrari  report
5         i strassen - rennen karl - marx - stadt       karl - marx - stadt         3 may         rudolf krause               bmw - reif  report
6                     v brdc international trophy               silverstone         9 may         mike hawthorn                  ferrari  report
7                              xv eläintarhanajot            eläintarharata        10 may         rodney nuckey         cooper - bristol  report
8                        vi gran premio di napoli                 posillipo        10 may       giuseppe farina                  ferrari  report
9                               vii ulster trophy                   dundrod        16 may         mike hawthorn                  ferrari  report
10                   i winfield jc formula 2 race               charterhall        23 may           ken wharton          cooper - climax  report
11                          iii coronation trophy            crystal palace        23 may             tony rolt  connaught - lea francis  report
12                xxiii grand prix des frontières                    chimay        24 may   maurice trintignant                  gordini  report
13                 i snetterton coronation trophy                snetterton        30 may             tony rolt  connaught - lea francis  report
14          xvii internationales adac eifelrennen               nürburgring        31 may  toulo de graffenried                 maserati  report
15                   xv grand prix de l'albigeois                      albi        31 may          louis rosier                  ferrari  report
16                           i coupe de printemps                 montlhéry        31 may          marcel balsa                      bmw  report
17                i paul greifzu gedachtnisrennen                    dessau        7 june           edgar barth                      emw  report
18                          ii west essex cc race                snetterton       27 june      kenneth mcalpine  connaught - lea francis  report
19                           i midlands mecc race               silverstone       27 june            tony crook            cooper - alta  report
20        iii grand prix de rouen - les - essarts     rouen - les - essarts       28 june       giuseppe farina                  ferrari  report
21  iv strassen - rennen halle - saale - schleife  halle - saale - schleife        5 july           edgar barth                      emw  report
22                        i crystal palace trophy            crystal palace       11 july             tony rolt  connaught - lea francis  report
23                  ix internationales avusrennen                      avus       12 july       jacques swaters                  ferrari  report
24              ii united states air force trophy                snetterton       25 july             tony rolt  connaught - lea francis  report
25                               v circuit du lac         aix - les - bains       26 july            élie bayol                     osca  report
26                       i dresden autobahnspinne        dresden - hellerau       26 july           edgar barth                      emw  report
27                        i bristol mc & lcc race                  thruxton      3 august             tony rolt  connaught - lea francis  report
28                       i mid - cheshire mc race               oulton park      8 august             tony rolt  connaught - lea francis  report
29              iii grand prix de sables d'olonne     les sables - d'olonne      9 august          louis rosier                  ferrari  report
30                    ii newcastle journal trophy               charterhall     15 august           ken wharton         cooper - bristol  report
31                           v circuit de cadours                   cadours     30 august   maurice trintignant                  gordini  report
32                            v sachsenringrennen               sachsenring   6 september           edgar barth                emw - bmw  report
33                                 i redex trophy                snetterton  12 september         eric thompson  connaught - lea francis  report
34                           iii skarpnäcksloppet                 skarpnäck  13 september         erik lundgren                     ford  report
35                                i london trophy            crystal palace  19 september         stirling moss            cooper - alta  report
36                       iv gran premio di modena                    modena  20 september    juan manuel fangio                 maserati  report
37                                vi madgwick cup                  goodwood  26 september         roy salvadori  connaught - lea francis  report
38                     ii bernau autobahnschleife                    bernau  27 september     artur rosenhammer                      emw  report
39                     ii joe fry memorial trophy              castle combe     3 october            bob gerard         cooper - bristol  report
40                                i curtis trophy                snetterton    17 october            bob gerard         cooper - bristol  report
