     rank          nation  gold  silver  bronze  total
0       1           china     6       3       3     12
1       2     south korea     4       2       5     10
2       3     north korea     3       1       0      4
3       4           japan     1       3       8     13
4       5            iran     1       2       3      6
5       6      uzbekistan     1       1       5      7
6       7    turkmenistan     0       2       1      3
7       8  chinese taipei     0       1       3      4
8       9        mongolia     0       1       1      2
9      10      kazakhstan     0       0       2      2
10     11      kyrgyzstan     0       0       1      1
11  total           total    16      16      32     64
