                            album or song                                band   memebrship                           role  year
0                         enfeebled earth  dark tranquillity (septic broiler)  ex - member                         vocals  1990
1                 rehearsal december 1990  dark tranquillity (septic broiler)  ex - member                         vocals  1990
2                   trail of life decayed                   dark tranquillity  ex - member                         vocals  1991
3                   a moonclad reflection                   dark tranquillity  ex - member                         vocals  1992
4                               skydancer                   dark tranquillity  ex - member                         vocals  1993
5                      carpet (1 - 3 , 7)                     ceremonial oath  ex - member                         vocals  1995
6                         the jester race                           in flames       member                         vocals  1995
7                 black - ash inheritance                           in flames       member                         vocals  1997
8                                whoracle                           in flames       member                         vocals  1997
9        penetrations from the lost world                      dimension zero        guest                 co - producing  1997
10                       the fifth season                           sacrilege        guest                    engineering  1997
11                  hedon - the mind 's i                   dark tranquillity        guest           co - vocals / mantra  1997
12   hands of the pupetters - visionnaire                         misanthrope        guest                 backing vocals  1997
13                                haddock                             haddock        guest                      recording  1998
14                  my arms , your hearse                               opeth        guest                 co - producing  1998
15                        the nude ballet                   withering surface        guest                      mastering  1998
16                                 colony                           in flames       member                         vocals  1999
17             the phantom novels (2 , 3)                           grievance        guest                    co - vocals  1999
18     antichrist 3000 - the beast divine                       cemetery 1213        guest                    co - vocals  2000
19                                clayman                           in flames       member                         vocals  2000
20                           not dead yet                          raise hell        guest                 co - producing  2000
21                                  haven                   dark tranquillity        guest                    engineering  2000
22                     the tokyo showdown                           in flames       member                         vocals  2001
23                       i die , you soar                            madrigal        guest          producing , recording  2001
24                      reroute to remain                           in flames       member  vocals , mixing , engineering  2002
25                     silent night fever                      dimension zero        guest                 co - producing  2002
26                                trigger                           in flames       member                         vocals  2003
27                              passenger                           passenger       member                         vocals  2003
28                           this is hell                      dimension zero        guest                 co - producing  2003
29                   synthetic generation                          deathstars        guest        engineering , recording  2003
30                           prey on life                               burst        guest        producing , engineering  2003
31              soundtrack to your escape                           in flames       member                         vocals  2004
32               the opposite from within                             caliban        guest                      producing  2004
33         used & abused in live we trust                           in flames       member                         vocals  2005
34                           come clarity                           in flames       member                         vocals  2006
35                   the undying darkness                             caliban        guest                      producing  2006
36  i see the falling sky - the awakening                             caliban        guest                    co - vocals  2007
37                        absolute design                               engel        guest                      producing  2007
38  dysfunctional hours - out of the dark           nuclear blast all - stars        guest                         vocals  2007
39                   subversive blueprint                 the destiny program        guest                      producing  2007
40                     a sense of purpose                           in flames       member                         vocals  2008
41           self versus self - immersion                            pendulum        guest                    co - vocals  2010
42          sounds of a playground fading                           in flames       member                         vocals  2011
