           date              visitor  score                 home       record
0   november 17      toronto st pats  1 - 4  chicago black hawks    1 - 0 - 0
1   november 20        boston bruins  1 - 5  chicago black hawks    2 - 0 - 0
2   november 24      detroit cougars  1 - 0  chicago black hawks    2 - 1 - 0
3   november 27   pittsburgh pirates  5 - 3  chicago black hawks    2 - 2 - 0
4   november 30  chicago black hawks  3 - 4     new york rangers    2 - 3 - 0
5    december 1  chicago black hawks  2 - 2   new york americans    2 - 3 - 1
6    december 4  chicago black hawks  5 - 3     montreal maroons    3 - 3 - 1
7    december 7      ottawa senators  3 - 2  chicago black hawks    3 - 4 - 1
8    december 9  chicago black hawks  2 - 5      toronto st pats    3 - 5 - 1
9   december 11  chicago black hawks  3 - 0   montreal canadiens    4 - 5 - 1
10  december 15     new york rangers  2 - 6  chicago black hawks    5 - 5 - 1
11  december 18   new york americans  2 - 4  chicago black hawks    6 - 5 - 1
12  december 22   montreal canadiens  3 - 1  chicago black hawks    6 - 6 - 1
13  december 25      detroit cougars  0 - 2  chicago black hawks    7 - 6 - 1
14  december 29     montreal maroons  4 - 5  chicago black hawks    8 - 6 - 1
15    january 1     new york rangers  4 - 0  chicago black hawks    8 - 7 - 1
16    january 4   pittsburgh pirates  2 - 1  chicago black hawks    8 - 8 - 1
17    january 8  chicago black hawks  4 - 0   pittsburgh pirates    9 - 8 - 1
18   january 11  chicago black hawks  3 - 6        boston bruins    9 - 9 - 1
19   january 16  chicago black hawks  4 - 5     new york rangers   9 - 10 - 1
20   january 19      toronto st pats  3 - 4  chicago black hawks  10 - 10 - 1
21   january 22        boston bruins  2 - 2  chicago black hawks  10 - 10 - 2
22   january 27  chicago black hawks  2 - 4   pittsburgh pirates  10 - 11 - 2
23   january 29  chicago black hawks  1 - 6      toronto st pats  10 - 12 - 2
24   february 1  chicago black hawks  3 - 4      detroit cougars  10 - 13 - 2
25   february 3  chicago black hawks  0 - 3     montreal maroons  10 - 14 - 2
26   february 5  chicago black hawks  1 - 2      ottawa senators  10 - 15 - 2
27   february 9      ottawa senators  3 - 5  chicago black hawks  11 - 15 - 2
28  february 11   montreal canadiens  1 - 6  chicago black hawks  12 - 15 - 2
29  february 13  chicago black hawks  1 - 2   new york americans  12 - 16 - 2
30  february 15  chicago black hawks  0 - 3        boston bruins  12 - 17 - 2
31  february 19  chicago black hawks  4 - 1      detroit cougars  13 - 17 - 2
32  february 23   new york americans  1 - 3  chicago black hawks  14 - 17 - 2
33  february 26     montreal maroons  2 - 1  chicago black hawks  14 - 18 - 2
34      march 1     new york rangers  0 - 3  chicago black hawks  15 - 18 - 2
35      march 3  chicago black hawks  1 - 7   montreal canadiens  15 - 19 - 2
36      march 5  chicago black hawks  2 - 1      ottawa senators  16 - 19 - 2
37      march 8  chicago black hawks  4 - 1      detroit cougars  17 - 19 - 2
38     march 13  chicago black hawks  4 - 0        boston bruins  18 - 19 - 2
39     march 15        boston bruins  2 - 1  chicago black hawks  18 - 20 - 2
40     march 17  chicago black hawks  2 - 6   pittsburgh pirates  18 - 21 - 2
41     march 19   pittsburgh pirates  2 - 3  chicago black hawks  19 - 21 - 2
42     march 22      detroit cougars  3 - 3  chicago black hawks  19 - 21 - 3
43     march 25  chicago black hawks  0 - 4     new york rangers  19 - 22 - 3
