    pick             player    position            nationality                 nhl team       college / junior / club team
0     49   andre st laurent      centre                 canada       new york islanders  montreal junior canadiens (qmjhl)
1     50       ron serafini     defence          united states  california golden seals    st catharines black hawks (oha)
2     51       keith mackie     defence  united kingdom canada        vancouver canucks          edmonton oil kings (wchl)
3     52       frank rochon   left wing                 canada      toronto maple leafs         sherbrooke castors (qmjhl)
4     53      dean talafous      centre          united states           atlanta flames     university of wisconsin (ncaa)
5     54      jim mccrimmon     defence                 canada        los angeles kings         medicine hat tigers (wchl)
6     55      dennis owchar     defence                 canada      pittsburgh penguins            toronto marlboros (oha)
7     56    alan hangsleben     defence          united states       montreal canadiens  university of north dakota (ncaa)
8     57         tom colley      centre                 canada    minnesota north stars               sudbury wolves (oha)
9     58          dale cook   left wing                 canada      philadelphia flyers            victoria cougars (wchl)
10    59        mike korney     defence                 canada        detroit red wings               winnipeg jets (wchl)
11    60        yvon dupuis  right wing                 canada           buffalo sabres            quebec remparts (qmjhl)
12    61       dave elliott   left wing                 canada      chicago black hawks               winnipeg jets (wchl)
13    62       brian molvik     defence                 canada         new york rangers         calgary centennials (wchl)
14    63      steve langdon   left wing                 canada            boston bruins               london knights (oha)
15    64  richard latulippe      centre                 canada       montreal canadiens            quebec remparts (qmjhl)
