                                   tie no                              home team                                  score                              away team                             attendance
0                                       1                        tranmere rovers                                  1 - 0                        crewe alexandra                                   2626
1                                       2                               rochdale                                  2 - 2                        carlisle united                                   1608
2         rochdale won 4 - 2 on penalties        rochdale won 4 - 2 on penalties        rochdale won 4 - 2 on penalties        rochdale won 4 - 2 on penalties        rochdale won 4 - 2 on penalties
3                                       3                           chester city                                  1 - 1                              morecambe                                    926
4        morecambe won 3 - 1 on penalties       morecambe won 3 - 1 on penalties       morecambe won 3 - 1 on penalties       morecambe won 3 - 1 on penalties       morecambe won 3 - 1 on penalties
5                                       4                                   bury                                  1 - 0                       stockport county                                   2384
6                                       5                      scunthorpe united                                  2 - 1                           grimsby town                                   4844
7                                       6                       rotherham united                                  4 - 2                           leeds united                                   4658
8                                       7                             darlington                                  1 - 0                      huddersfield town                                   1791
9                                       8                         leicester city                                  0 - 0                           lincoln city                                   8046
10  leicester city won 3 - 1 on penalties  leicester city won 3 - 1 on penalties  leicester city won 3 - 1 on penalties  leicester city won 3 - 1 on penalties  leicester city won 3 - 1 on penalties
