                 name                    years  seasons  lost  pct
0            no coach              1892 - 1902       10    31  516
1      w augustus lee              1903 - 1904        2     6  631
2       william earle                     1905        1     7  423
3      george needham                     1906        1     7  125
4         dicky james                     1907        1     6  647
5          frank lohr                     1908        1     3  750
6           dick reid                     1909        1     6  647
7   bill breitenstein                     1910        1     5  688
8           pl wright                     1911        1     6  647
9      james g driver              1912 - 1913        2    19  536
10        gi guerrant                     1914        1     7  625
11          syd smith                     1915        1    11  353
12         bill clark         1916 1921 - 1924        5    49  438
13       dixon foster              1917 - 1920        4    51  350
14      branch bocock              1925 - 1927        3    21  447
15        billy laval              1928 - 1934        7    33  728
16      dutch stamman              1935 - 1937        3    25  420
17      catfish smith  1938 - 1939 1946 - 1947        4    48  455
18       ted petoskey  1940 - 1942 1948 - 1956       12   120  485
19         kay kirven                     1943        1     6  455
20         hw klocker                     1944        1     4  500
21    johnny mcmillan                     1945        1     4  667
22         joe grugan              1957 - 1963        7    93  354
23        bob reising              1964 - 1965        2    24  564
24        dick weldon                     1966        1     8  652
25        jack powers              1967 - 1969        3    40  540
26   bobby richardson              1970 - 1976        7    91  706
27        june raines              1977 - 1996       20   380  667
28         ray tanner              1997 - 2012       16   313  701
29      chad holbrook           2013 - present        1    20  683
30         all - time               all - time      118  1413  617
