   year                      entrant       chassis             engine  points
0  1965              ecurie tomahawk      lotus 20  ford straight - 4       0
1  1967           scuderia scribante  brabham bt11    coventry climax       0
2  1968           scuderia scribante  brabham bt11              repco       0
3  1970           scuderia scribante     lotus 49c  ford cosworth dfv       0
4  1971  brabham racing organisation  brabham bt33  ford cosworth dfv       0
5  1971                   team lotus     lotus 72d  ford cosworth dfv       0
6  1972           scuderia scribante     lotus 72d  ford cosworth dfv       0
7  1973           scuderia scribante     lotus 72d  ford cosworth dfv       0
8  1974           scuderia scribante   mclaren m23  ford cosworth dfv       0
9  1975          lucky strike racing   mclaren m23  ford cosworth dfv       0
