    rank                  nation  gold  silver  bronze  total
0      1                 germany     2       2       1      4
1      2           great britain     2       1       4      7
2      3                   italy     2       1       1      4
3      4             netherlands     2       0       4      6
4      5                  france     1       5       2      8
5      6                 belgium     1       1       4      5
6      7                  russia     1       1       2      4
7      8                   spain     1       1       1      3
8      9                  poland     1       0       3      4
9     10                 austria     1       0       2      3
10    11                 hungary     1       0       0      1
11    12                 georgia     0       2       0      2
12  13 =                  latvia     0       1       0      1
13  13 =                 romania     0       1       0      1
14    15                  turkey     0       0       2      2
15  16 =                 belarus     0       0       1      1
16  16 =  bosnia and herzegovina     0       0       1      1
17  16 =                bulgaria     0       0       1      1
18  16 =                  israel     0       0       1      1
19  16 =                portugal     0       0       1      1
20  16 =                 ukraine     0       0       1      1
