    frequency      call sign         branding                   format                              owner
0     1150 am           ckfr          am 1150              news / talk                       astral media
1  00 88.9 fm      cbtk - fm    cbc radio one       public news / talk  canadian broadcasting corporation
2  00 89.7 fm   cbu - fm - 3      cbc radio 2             public music  canadian broadcasting corporation
3  00 90.5 fm  cbuf - fm - 2  première chaîne       public news / talk  canadian broadcasting corporation
4  00 96.3 fm      ckko - fm            k96.3             classic rock            sun country cablevision
5  00 99.9 fm      chsu - fm      99.9 sun fm  contemporary hits radio                         bell media
6  0 101.5 fm      cilk - fm    101.5 ez rock       adult contemporary                         bell media
7  0 103.1 fm      ckqq - fm             q103   hot adult contemporary                 jim pattison group
8  0 103.9 fm      cjui - fm  103.9 the juice               adult hits              vista broadcast group
9  0 104.7 fm      cklz - fm        power 104              active rock                 jim pattison group
