     rank         nation  gold  silver  bronze  total
0       1          china    16      10       2     28
1       2  united states     7      10       8     25
2       3         russia     5       7       5     17
3       4      australia     5       3       4     12
4       5        hungary     3       3       4     10
5       6        finland     2       2       0      4
6       7         canada     1       2       2      5
7       8          spain     1       2       0      3
8       8         sweden     1       2       0      3
9      10        germany     1       1       6      8
10     11          italy     1       0       2      3
11     12         poland     1       0       0      1
12     12       zimbabwe     1       0       0      1
13     14          japan     0       2       1      3
14     15    new zealand     0       1       2      3
15     16    netherlands     0       1       0      1
16     17        belgium     0       0       2      2
17     17         brazil     0       0       2      2
18     17     costa rica     0       0       2      2
19     20      lithuania     0       0       1      1
20     20         mexico     0       0       1      1
21  total          total    45      46      44    135
