                    driver         constructor  laps  time / retired  grid
0         franã§ois cevert      tyrrell - ford    59     1:43:51.991     5
1               jo siffert                 brm    59        + 40.062     6
2          ronnie peterson        march - ford    59        + 44.070    11
3            howden ganley                 brm    59        + 56.749    12
4           jackie stewart      tyrrell - ford    59      + 1:00.003     1
5           clay regazzoni             ferrari    59      + 1:16.426     4
6              graham hill      brabham - ford    58         + 1 lap    18
7   jean - pierre beltoise               matra    58         + 1 lap    10
8             peter gethin                 brm    58         + 1 lap    21
9              david hobbs      mclaren - ford    58         + 1 lap    22
10       andrea de adamich  march - alfa romeo    57        + 2 laps    26
11              chris amon               matra    57        + 2 laps     8
12            helmut marko                 brm    57        + 2 laps    16
13             john cannon                 brm    56        + 3 laps    24
14           mike hailwood      surtees - ford    54        accident    14
15              jo bonnier      mclaren - ford    54     out of fuel    28
16            john surtees      surtees - ford    54        + 5 laps    13
17             skip barber        march - ford    52  not classified    25
18              jacky ickx             ferrari    49      alternator     7
19      emerson fittipaldi        lotus - ford    49  not classified     2
20             pete lovely        lotus - ford    49  not classified    29
21             denny hulme      mclaren - ford    47        accident     3
22            tim schenken      brabham - ford    41          engine    15
23             chris craft      brabham - ford    30      suspension    27
24               sam posey      surtees - ford    15          piston    17
25         henri pescarolo        march - ford    23          engine    20
26             nanni galli        march - ford    11           wheel    23
27            reine wisell        lotus - ford     5          brakes     9
28            peter revson      tyrrell - ford     1          clutch    19
