                      club          head coach               city                                             stadium        2006 - 2007 season
0     académica de coimbra  domingos paciência            coimbra                           estádio cidade de coimbra          13th in the liga
1               belenenses         jorge jesus             lisbon                                  estádio do restelo           5th in the liga
2                  benfica    fernando chalana             lisbon  estádio do sport lisboa e benfica (estádio da luz)           3rd in the liga
3                 boavista       jaime pacheco              porto                       estádio do bessa - século xxi           9th in the liga
4        sporting de braga         jorge costa              braga          estádio axa ( estádio municipal de braga )           4th in the liga
5       estrela da amadora       daúto faquirá            amadora                                  estádio josé gomes          10th in the liga
6          união de leiria        paulo duarte             leiria     estádio municipal de leiria dr magalhães pessoa           7th in the liga
7                  leixões        carlos brito         matosinhos                                      estádio do mar  1st in the liga de honra
8                 marítimo  sebastião lazaroni            funchal                               estádio dos barreiros          12th in the liga
9                 nacional   predrag jokanović            funchal                                  estádio da madeira           8th in the liga
10  naval 1 degree de maio      ulisses morais    figueira da foz                 estádio municipal josé bento pessoa          11th in the liga
11       paços de ferreira           josé mota  paços de ferreira                                estádio da mata real           6th in the liga
12                   porto   jesualdo ferreira              porto                                   estádio do dragão           1st in the liga
13             sporting cp         paulo bento             lisbon                  estádio josé alvalade - século xxi           2nd in the liga
14    vitória de guimarães       manuel cajuda          guimarães                          estádio d afonso henriques  2nd in the liga de honra
15      vitória de setúbal    carlos carvalhal            setúbal                                   estádio do bonfim          14th in the liga
