                      animal name       species                            books            tv series                    gender tv seasons                            mate                    first appearance                      last appearance
0            the great white stag          deer                              yes                  yes                      male  1 , 2 , 3               yes (unmentioned)       so near and yet so far (1x13)            comings and goings (3x01)
1                      the warden         human                              yes                  yes                      male      2 , 3                           n / a                       winter (2x02)                homeward bound (3x12)
2                        scarface           fox                              yes  yes (as a blue fox)                      male          2  lady blue (tv) unnamed (books)            a hero 's welcome (2x01)                reconciliation (2x13)
3                       lady blue           fox                    yes (unnamed)                  yes                    female          2                        scarface            a hero 's welcome (2x01)                reconciliation (2x13)
4                         measley        weasel                               no                  yes                      male      2 , 3                          weasel            a hero 's welcome (2x01)         bully , bully , bully (3x13)
5                          speedy         heron                    yes (unnamed)                  yes                    female      2 , 3                        whistler            a hero 's welcome (2x01)         bully , bully , bully (3x13)
6                          ranger           fox                              yes                  yes                      male      2 , 3                         charmer             a joke backfires (2x05)         bully , bully , bully (3x13)
7                         bounder           fox                    yes (unnamed)                  yes                      male          2                         unknown             a joke backfires (2x05)        like father , like son (2x08)
8                          hurkel        badger                               no                  yes                      male          3                          shadow           comings and goings (3x01)         bully , bully , bully (3x13)
9                         sinuous         snake                              yes                  yes  male (tv) female (books)          3                           adder           comings and goings (3x01)                 a bigger oink (3x09)
10                           trey          deer                              yes                  yes                      male          3                           n / a           comings and goings (3x01)         bully , bully , bully (3x13)
11                          laird          deer                               no                  yes                      male          3                           n / a  the worst kind of hurricane (3x11)         bully , bully , bully (3x13)
12                     ginger cat           cat                              yes         yes (as cat)                      male      2 , 3                           n / a                       winter (2x02)                homeward bound (3x12)
13                          bully           rat                              yes                  yes                      male          3                           n / a           comings and goings (3x01)         bully , bully , bully (3x13)
14                          spike           rat                              yes                  yes                      male          3                           n / a           comings and goings (3x01)         bully , bully , bully (3x13)
15                           brat           rat                              yes                  yes                      male          3                           n / a           comings and goings (3x01)        scared by silly snakes (3x08)
16            mateless (mirthful)          mole                              yes                  yes                    female          2                            mole    new enemies (2x04) (as mateless)  reconciliation (2x13) (as mirthful)
17                        paddock          toad                              yes                  yes                    female          2                            toad   home is where the heart is (2x06)   blood is thicker then water (2x12)
18               the edible frogs          frog                              yes                  yes                      both      2 , 3                  multiple pairs            a hero 's welcome (2x01)                              unknown
19                  red squirrels  red squirrel  no (other squirrels did appear)                  yes                      both          2                  multiple pairs            a hero 's welcome (2x01)             a hero 's welcome (2x01)
20                          stoat         stoat           no (others did appear)                  yes                    female          2                         unknown                  new enemies (2x04)                   new enemies (2x04)
21                          blaze           fox                              yes                   no                      male      n / a                         unknown                               n / a                                n / a
22                         russet           fox                              yes                   no                    female      n / a                        friendly                               n / a                                n / a
23                           trip           fox                              yes                   no                      male      n / a                         unknown                               n / a                                n / a
24                          frond        badger                              yes                   no                    female      n / a                           n / a                               n / a                                n / a
25                      the beast           cat                              yes                   no                      male      n / a               another giant cat                               n / a                                n / a
26                         scragg           rat                               no                  yes                      male          3                           n / a            tiffs and tempers (3x05)             tiffs and tempers (3x05)
27      the white deer park voles         voles                              yes                  yes                      both          3                  multiple pairs           comings and goings (3x01)         bully , bully , bully (3x13)
28             the large town rat           rat                              yes                  yes                      male          3                           n / a                out and about (3x02)         bully , bully , bully (3x13)
29  the white deer park squirrels    s squirrel            no (others do appear)                  yes                      both          3                           n / a    the missing fox 's friend (3x04)      scared by silly snake 's (3x08)
30      the white deer park foxes         foxes                              yes  yes (as blue foxes)                      both          2                  multiple pairs              the feud begins (2x07)                reconciliation (2x13)
31                 the white deer          deer                              yes                  yes                      both      2 , 3                  multiple pairs                  new enemies (2x04)         bully , bully , bully (3x13)
