                     driver            constructor  laps   time / retired  grid
0        michael schumacher                ferrari    62      2:00:05.654     2
1        rubens barrichello         stewart - ford    62         + 53.306    10
2              eddie irvine                ferrari    62       + 1:22.108    15
3             olivier panis  prost - mugen - honda    62       + 1:44.402    12
4                 mika salo         tyrrell - ford    61          + 1 lap    14
5      giancarlo fisichella       jordan - peugeot    61          + 1 lap     4
6             jan magnussen         stewart - ford    61          + 1 lap    19
7            jos verstappen         tyrrell - ford    60         + 2 laps    22
8            gerhard berger     benetton - renault    60         + 2 laps    17
9             ukyo katayama         minardi - hart    60         + 2 laps    20
10  heinz - harald frentzen     williams - renault    39         accident     1
11            shinji nakano  prost - mugen - honda    36         accident    21
12            nicola larini      sauber - petronas    24         accident    11
13               jean alesi     benetton - renault    16         spun off     9
14       jacques villeneuve     williams - renault    16  accident damage     3
15          ralf schumacher       jordan - peugeot    10         accident     6
16           johnny herbert      sauber - petronas     9         accident     7
17             jarno trulli         minardi - hart     7         accident    18
18          david coulthard     mclaren - mercedes     1         accident     5
19           mika hã¤kkinen     mclaren - mercedes     1        collision     8
20               damon hill        arrows - yamaha     1        collision    13
21              pedro diniz        arrows - yamaha     0         spun off    16
