            date          round         circuit     race 1 winner     race 2 winner  report
0        1 april  great britain       donington        doug polen  stéphane mertens  report
1       28 april          spain          jarama        doug polen        doug polen  report
2         2 june         canada         mosport    pascal picotte          tom kipp  report
3         9 june  united states        brainerd        doug polen        doug polen  report
4        30 june        austria  österreichring  stéphane mertens        doug polen  report
5       4 august     san marino          misano        doug polen        doug polen  report
6      11 august         sweden      anderstorp        doug polen        doug polen  report
7      25 august          japan            sugo        doug polen        doug polen  report
8    1 september       malaysia       shah alam     raymond roche     raymond roche  report
9   15 september        germany      hockenheim        doug polen     raymond roche  report
10  29 september         france   magny - cours        doug polen        doug polen  report
11     6 october          italy         mugello        doug polen     raymond roche  report
12    19 october      australia  phillip island       kevin magee        doug polen  report
