    rank          nation  gold  silver  bronze  total
0      1   united states    16      11       5     32
1      2          russia     7      11      10     28
2      3           japan     3       1       5      9
3      4          canada     3       3       2      8
4      5           china     1       1       3      5
5      6         ukraine     0       1       2      3
6      7         finland     0       1       1      2
7      7  czech republic     0       2       0      2
8      7         estonia     0       1       1      2
9      7           italy     1       0       1      2
10     8         germany     1       0       0      1
11     8           spain     0       0       1      1
12     8     south korea     0       0       1      1
