     rank          nation  gold  silver  bronze  total
0       1    soviet union    12       5       2     19
1       2        bulgaria     3       6       2     11
2       3         romania     1       1       5      7
3       4        mongolia     1       1       1      3
4       4          poland     1       1       1      3
5       6           japan     1       1       0      2
6       7  czechoslovakia     1       0       0      1
7       8    east germany     0       2       2      4
8       8          turkey     0       2       2      4
9      10            iran     0       1       0      1
10     11         hungary     0       0       2      2
11     12          canada     0       0       1      1
12     12          israel     0       0       1      1
13     12      yugoslavia     0       0       1      1
14  total           total    20      20      20     60
