                               tie no                          home team                              score                          away team                         attendance
0                                   1                       derby county                              1 - 1                             fulham                              22040
1                              replay                             fulham                              4 - 2                       derby county                              15528
2                                   2                  manchester united                              3 - 0                      middlesbrough                              67251
3                                   3                   blackburn rovers                              3 - 0                  colchester united                              10634
4                                   4                            chelsea                              2 - 0                    birmingham city                              40379
5                                   5                    west ham united                              1 - 1                   sheffield united                              25449
6                              replay                   sheffield united                              1 - 1                    west ham united                              15067
7   sheffield united won on penalties  sheffield united won on penalties  sheffield united won on penalties  sheffield united won on penalties  sheffield united won on penalties
8                                   6                    oldham athletic                              0 - 1                   bolton wanderers                              12029
9                                   7                            arsenal                              2 - 0            wolverhampton wanderers                              37135
10                                  8                            everton                              3 - 0                         sunderland                              33186
11                                  9                  nottingham forest                              1 - 0                       peterborough                              16774
12                                 10                          brentford                              0 - 0                         hartlepool                               8967
13                             replay                         hartlepool                              0 - 1                          brentford                               7580
14                                 11                            reading                              1 - 2                     leicester city                              14825
15                                 12                            burnley                              2 - 0                        bournemouth                               9944
16                                 13                        southampton                              2 - 1                         portsmouth                              29453
17                                 14               west bromwich albion                              1 - 1                  tottenham hotspur                              22441
18                             replay                  tottenham hotspur                              3 - 1               west bromwich albion                              27860
19                                 15                   newcastle united                              3 - 1                      coventry city                              44044
20                                 16                  charlton athletic                              3 - 2                        yeovil town                              22873
