    year             winner              jockey                 trainer                        owner
0   2013          hessonite     junior alvarado            david g donk                 punk / dileo
1   2012    winter memories        eddie castro           james j toner  phillips racing partnership
2   2011            daveron        eddie castro         h graham motion     team valor international
3   2010           dynaslew           eibar coa             seth benzel   live oak plantation racing
4   2009   my princess jess  cornelio velazquez            barclay tagg                 lael stables
5   2008      criminologist      john velazquez    claude mcgaughey iii            stuart janney iii
6   2007          masseuese         edgar prado           james j toner            nicholson , elser
7   2006      pommes frites  cornelio velasquez          william i mott  haras santa maria de araras
8   2005             finery       pablo fragoso   william h turner , jr            althea d richards
9   2004         dedication   javier castellano      christophe clement               ghislaine head
10  2003     delta princess       michael luzzi          william i mott              saud bin khaled
11  2002      voodoo dancer      jerry d bailey      christophe clement             green hills farm
12  2001            gaviola      jerry d bailey   william h turner , jr                 twilite farm
13  2000      perfect sting      jerry d bailey           joseph orseno              stronach stable
14  1999            tampico      john velazquez            barclay tagg              ronald g cullis
15  1998  national treasure    richard migliore       mitchell friedman            sunny meadow farm
16  1997   careless heiress           joe bravo     warren a croll , jr      r levy / sibling stable
17  1996     christmas gift      jerry d bailey           mark a hennig               edward p evans
18  1995             caress        robbie davis         h allen jerkens             harbor view farm
19  1994         cox orange      jerry d bailey      christophe clement          mohammed al maktoum
20  1993      mckaymackenna     jorge velasquez              rene araya                 r kay stable
21  1992        christiecat    jean - luc samyn         patrick j kelly               fox ridge farm
22  1991   summer secretary     jorge velasquez         h allen jerkens           middletown stables
23  1990             fieldy        craig perret    thomas j skiffington             fernwood stables
24  1989   summer secretary    jean - luc samyn    thomas j skiffington              evergreen farms
25  1988  key to the bridge         eddie maple         patrick j kelly               fox ridge farm
26  1987       give a toast        robbie davis         h allen jerkens               bohemia stable
27  1986         duty dance        jean cruguet  claude r mcgaughey iii           ogden mills phipps
28  1985      possible mate     jacinto vasquez        philip g johnson               edward p evans
29  1984       thirty flags  angel cordero , jr         h allen jerkens               bohemia stable
30  1983            trevita     jorge velasquez     jonathan e sheppard             augustin stables
31  1982        cheap seats  angel cordero , jr          john parisella            theodore sabarese
32  1981        andover way  angel cordero , jr         howard m tesher               h joseph allen
33  1980     samarta dancer       larry saumell      flint s schulhofer              stephen peskoff
34  1979       heavenly ade     mickey solomone              mary edens               adele w paxson
35  1979           plankton     ruben hernandez         howard m tesher           frederick k tesher
36  1978             shukey     jorge velasquez       willard c freeman             anne minor stone
