               team  played  drawn  lost  points
0             wapda      30      5     2      74
1              army      30      5     2      74
2               krl      30      4     3      73
3               kpt      30      7     5      60
4              ptcl      30      6     6      60
5              navy      30     11     5      53
6               hbl      30      7     9      49
7               abl      30      3    12      48
8         afghan fc      30      7    13      37
9         wohaib fc      30      3    18      30
10       panther fc      30      6    16      30
11     young xi dik      30      4    19      25
12  mauripur baloch      30      4    20      22
13        baloch fc      30      5    20      20
14  naka muhammadan      30      0    25      15
15        mardan fc      30      1    26      10
