    rank          nation  gold  silver  bronze  total
0      1           japan     4       1       2      7
1      2    soviet union     2       1       2      5
2      3    east germany     2       0       2      4
3      4           italy     0       1       1      2
4      4         hungary     0       1       1      2
5      6          france     0       1       0      1
6      6  czech republic     0       1       0      1
7      6   great britain     0       1       0      1
8      6     netherlands     0       1       0      1
9     10         germany     0       0       2      2
10    10         belgium     0       0       2      2
11    10         romania     0       0       2      2
12    13   united states     0       0       1      1
13    13          poland     0       0       1      1
