   year                    entrant             chassis                      engine  points
0  1950               enrico platã  maserati 4clt / 48     maserati straight - 4 s       5
1  1951                ecurie siam  maserati 4clt / 48       maserati straight - 4       0
2  1951                ecurie siam  maserati 4clt / 48                    osca v12       0
3  1952             equipe gordini     gordini type 15      gordini straight - 4 s       0
4  1952             equipe gordini     gordini type 16        gordini straight - 6       0
5  1953      connaught engineering    connaught type a  lea - francis straight - 4       0
6  1953            scuderia milano     maserati a6 gcm       maserati straight - 6       0
7  1954  officine alfieri maserati     maserati a6 gcm       maserati straight - 6       3
8  1954                     b bira       maserati 250f       maserati straight - 6       3
9  1955                     b bira       maserati 250f       maserati straight - 6       0
