                             round                           team 1                              agg                           team 2                          1st leg                          2nd leg
0          2006 uefa intertoto cup          2006 uefa intertoto cup          2006 uefa intertoto cup          2006 uefa intertoto cup          2006 uefa intertoto cup          2006 uefa intertoto cup
1                      first round               shakhter karagandy                            4 - 6                 mtz - ripo minsk                            1 - 5                            3 - 1
2                     second round                           moscow                            3 - 0                 mtz - ripo minsk                            2 - 0                            1 - 0
3               2006 - 07 uefa cup               2006 - 07 uefa cup               2006 - 07 uefa cup               2006 - 07 uefa cup               2006 - 07 uefa cup               2006 - 07 uefa cup
4           first qualifying round                   zagłębie lubin                      1 - 1 ( a )                     dinamo minsk                            1 - 1                            0 - 0
5           first qualifying round                     bate borisov                            3 - 0                     nistru otaci                            2 - 0                            1 - 0
6          second qualifying round              artmedia bratislava                            5 - 3                     dinamo minsk                            2 - 1                            3 - 2
7          second qualifying round                      rubin kazan                            5 - 0                     bate borisov                            3 - 0                            2 - 0
8  2006 - 07 uefa champions league  2006 - 07 uefa champions league  2006 - 07 uefa champions league  2006 - 07 uefa champions league  2006 - 07 uefa champions league  2006 - 07 uefa champions league
9           first qualifying round              shakhtyor soligorsk                            0 - 2                    široki brijeg                            0 - 1                            0 - 1
