    rd           race     pole position          fastest lap     most laps led      winning driver           winning team  report
0    1  st petersburg        will power    hélio castroneves  dario franchitti    dario franchitti    chip ganassi racing  report
1    2         barber        will power          scott dixon        will power          will power            team penske  report
2    3     long beach        will power     dario franchitti      ryan briscoe         mike conway     andretti autosport  report
3    4      são paulo        will power  simona de silvestro        will power          will power            team penske  report
4    5   indianapolis     alex tagliani     dario franchitti       scott dixon         dan wheldon  bryan herta autosport  report
5   6a          texas     alex tagliani             e j viso  dario franchitti    dario franchitti    chip ganassi racing  report
6   6b          texas       tony kanaan          scott dixon        will power          will power            team penske  report
7    7      milwaukee  dario franchitti     dario franchitti  dario franchitti    dario franchitti    chip ganassi racing  report
8    8           iowa       takuma sato        alex tagliani  dario franchitti      marco andretti     andretti autosport  report
9    9        toronto        will power        justin wilson        will power    dario franchitti    chip ganassi racing  report
10  10       edmonton       takuma sato   sébastien bourdais        will power          will power            team penske  report
11  11     mid - ohio       scott dixon          scott dixon       scott dixon         scott dixon    chip ganassi racing  report
12  12  new hampshire  dario franchitti          scott dixon  dario franchitti  ryan hunter - reay     andretti autosport  report
13  13         sonoma        will power           will power        will power          will power            team penske  report
14  14      baltimore        will power           will power        will power          will power            team penske  report
15  15         motegi       scott dixon      giorgio pantano       scott dixon         scott dixon    chip ganassi racing  report
16  16       kentucky        will power         ed carpenter  dario franchitti        ed carpenter    sarah fisher racing  report
