     episode                         song choice           original artist  order      result
0   audition                        sweet talker          carly rae jepsen  n / a    advanced
1     top 80                               i try                 macy gray  duets    advanced
2     top 40                      breathe (2 am)               anna nalick  n / a    advanced
3     top 22                 put your records on        corinne bailey rae     11    advanced
4     top 18                          sweet ones               sarah slean      4    advanced
5     top 14                     waiting in vain  bob marley & the wailers      3    advanced
6     top 10                      inside and out                  bee gees      3    bottom 3
7      top 9                  georgia on my mind          hoagy carmichael      5        safe
8      top 8                                torn         natalie imbruglia      7        safe
9      top 7                        killer queen                     queen      3    bottom 3
10     top 6                   come to my window         melissa etheridge      4    bottom 3
11     top 5                  chuck e 's in love          rickie lee jones      4        safe
12     top 4           my heart belongs to daddy               mary martin      1        safe
13     top 4  i got it bad (and that ain't good)             ivie anderson      5        safe
14     top 3                           seventeen                 janis ian      3  eliminated
15     top 3                          white flag                      dido      6  eliminated
