   year                                     game                                            genre                                   platform (s)             developer (s)
0  2003  star wars : knights of the old republic             ( role - playing game ) turn - based                                 windows , xbox                   bioware
1  2004                                   halo 2                       ( first - person ) shooter                                 windows , xbox                    bungie
2  2005                          resident evil 4     survival horror : ( third - person ) shooter       gamecube , playstation 2 , windows , wii                    capcom
3  2006  the legend of zelda : twilight princess                               action - adventure                        wii , nintendo gamecube                  nintendo
4  2007                                 bioshock     ( first - person ) shooter : survival horror  windows , xbox 360 , mac os x , playstation 3  2k boston / 2k australia
5  2008                                 fable ii                             action rpg : sandbox                                       xbox 360          lionhead studios
6  2009               uncharted 2: among thieves  action - adventure : ( third - person ) shooter                                  playstation 3               naughty dog
7  2010                            mass effect 2          action rpg : ( third - person ) shooter             xbox 360 , windows , playstation 3                   bioware
8  2011             the elder scrolls v : skyrim                          action rpg : open world             xbox 360 , windows , playstation 3     bethesda game studios
9  2012                            borderlands 2                           first - person shooter      xbox 360 , windows , playstation 3 , os x          gearbox software
