    rank                       nation  gold  silver  bronze  total
0      1                      lebanon     2       1       0      3
1      2  french community of belgium     1       0       1      2
2      3                        benin     1       0       0      1
3      3                       canada     1       0       0      1
4      3                    lithuania     1       0       0      1
5      3                   madagascar     1       0       0      1
6      7                       france     0       1       1      2
7      7                        niger     0       1       1      2
8      9                new brunswick     0       1       0      1
9      9                       quebec     0       1       0      1
10     9                   cape verde     0       1       0      1
11     9                      morocco     0       1       0      1
12    13                 burkina faso     0       0       1      1
13    13        republic of the congo     0       0       1      1
14    13                  ivory coast     0       0       1      1
15    13                    macedonia     0       0       1      1
