                           team            truck (s)       driver (s)              primary sponsor (s)          owner (s)        crew chief  rounds
0        adrian carriers racing  chevrolet silverado    steve wallace               liz girl logistics          gary adam      nick carlson       4
1            ben kennedy racing  chevrolet silverado      ben kennedy                         modspace     robert johnson     chris carrier       2
2           bill elliott racing  chevrolet silverado    chase elliott           aaron 's dream machine       bill elliott      lance mcgrew      10
3            bill martel racing  chevrolet silverado      kyle martel             patriot energy group     william martel    william martel       2
4   clay greenfield motorsports                  ram  clay greenfield               1 - 800 - pavement    clay greenfield        danny gill       6
5               ddk motorsports        toyota tundra    nate monteith         highway 126 self storage          k d moore          wade day       1
6    hattori racing enterprises        toyota tundra    brett moffitt                goodyear of japan   shigeaki hattori     jeroid prince       1
7         henderson motorsports  chevrolet silverado     caleb holman                 food country usa  charles henderson      butch miller      12
8                    jjc racing                  ram   chris lafferty                  driven2honororg   jennifer jo cobb      scott kazura      10
9          jim rosenblum racing  chevrolet silverado  dominick casola                      fdny racing      jim rosenblum      dick rahilly       2
10          ken schrader racing        toyota tundra     ken schrader             federated auto parts       ken schrader   donnie richeson       3
11             make motorsports  chevrolet silverado     danny efland     advanced electronic services        mark beaver    perry mitchell       8
12               mb motorsports         ford f - 150  justin jennings  mittler brothers machine & tool       mike mittler      mike mittler       7
13              rbr enterprises  chevrolet silverado      scott riggs               fleethq / carquest       ricky benton    michael hester       6
14                   rss racing  chevrolet silverado        j j yeley                            n / a           rod sieg     timothy brown       5
15     sharp - gallagher racing  chevrolet silverado    justin lofton           lofton cattle / j6 ink        eddie sharp    eddie troconis       8
16             thorsport racing        toyota tundra    brett moffitt                            aisin       duke thorson     jeriod prince      10
17     turner scott motorsports  chevrolet silverado      ben kennedy                         modspace       steve turner        mike greci       7
18          wauters motorsports  chevrolet silverado  tim george , jr                      applebee 's     richie wauters    richie wauters      11
19            young motorsports  chevrolet silverado      tyler young                randco industries        randy young  jeff stankiewicz       7
