                           date           location           country                      event                  winner                  runner - up
0        february 28 - march 12         gold coast         australia             quiksilver pro    kelly slater ( usa )           taj burrow ( aus )
1           april 11 - april 21        bells beach         australia               rip curl pro    kelly slater ( usa )       joel parkinson ( aus )
2                may 4 - may 16  teahupoo , tahiti  french polynesia              billabong pro  bobby martinez ( usa )  frederick patacchia ( haw )
3               may 21 - june 2            tavarua              fiji             globe pro fiji  damien hobgood ( usa )       shaun cansdell ( aus )
4              june 20 - july 1           huatulco            mexico        rip curl pro search      andy irons ( haw )          taylor knox ( usa )
5             july 12 - july 22       jeffreys bay      south africa              billabong pro    mick fanning ( aus )           taj burrow ( aus )
6   september 12 - september 16           trestles     united states           boost mobile pro   bede durbidge ( aus )         kelly slater ( usa )
7      september 22 - october 1           hossegor            france             quiksilver pro  joel parkinson ( aus )         mick fanning ( aus )
8        october 2 - october 14            mundaka             spain              billabong pro  bobby martinez ( usa )         kelly slater ( usa )
9       october 30 - november 8           imbituba            brazil        nova schin festival    mick fanning ( aus )       damien hobgood ( usa )
10     december 8 - december 20  pipeline , hawaii     united states  rip curl pipeline masters      andy irons ( haw )         kelly slater ( usa )
