                                    match no                                           home team                                     score                                 away team                                attendance
0                                         21                                nippon steel oita fc                                     3 - 1                       matsumoto yamaga fc                                       261
1                                         22                                    kochi university                                     4 - 0                                sc tottori                                       138
2                                         23  national institute of fitness and sports in kanoya                                     0 - 3               biwako seikei sport college                                       223
3                                         24                                  nirasaki astros fc                             1 - 3 ( aet )                    ritsumeikan university                                        78
4                                         25                      mitsubishi motors mizushima fc                                     2 - 0                        fc central chugoku                                       723
5                                         26                                   kansai university                               0 - 0 (aet)                                 fc ryūkyū                                       359
6   kansai university won 6 - 5 on penalties            kansai university won 6 - 5 on penalties  kansai university won 6 - 5 on penalties  kansai university won 6 - 5 on penalties  kansai university won 6 - 5 on penalties
7                                         27                                 kanagawa university                                     0 - 1                                   fc gifu                                       794
8                                         28                                  fukuoka university                                     0 - 2        miyazaki sangyo - keiei university                                       303
9                                         29                             aichi gakuin university                                     1 - 8                           banditonce kobe                                       356
10                                        30                                    shobi university                                     0 - 2                                tochigi sc                                       575
11                                        31                         ryutsu keizai university fc                                     0 - 2                            rosso kumamoto                                       348
12                                        32                                         shizuoka fc                                     2 - 1                             arte takasaki                                       251
13                                        33                                           ykk ap fc                               1 - 0 (aet)                      hachinohe university                                      1125
14                                        34                                    hosei university                                     2 - 0                                    tdk sc                                       449
