     rank         nation  gold  silver  bronze  total
0       1         canada    17      10       7     34
1       2       scotland     9       4      11     24
2       3         sweden     5      11       4     20
3       4    switzerland     4       7       6     17
4       5  united states     3       0       7     10
5       6        denmark     1       1       0      2
6       7        germany     0       2       3      5
7       8         norway     0       1       4      5
8       9         france     0       1       1      2
9      10        finland     0       1       0      1
10     10         russia     0       1       0      1
11  total          total    39      39      43    121
