                    driver         constructor  laps  time / retired  grid
0           jackie stewart      tyrrell - ford    55       1:46:42.3     1
1          françois cevert      tyrrell - ford    55         + 28.12     7
2       emerson fittipaldi        lotus - ford    55         + 34.07    17
3               jo siffert                 brm    55         + 37.17     6
4               chris amon               matra    55         + 41.08     9
5             reine wisell        lotus - ford    55       + 1:16.02    15
6   jean - pierre beltoise               matra    55       + 1:16.93     8
7             john surtees      surtees - ford    55       + 1:24.91    13
8             peter gethin      mclaren - ford    54         + 1 lap    19
9            howden ganley                 brm    54         + 1 lap    16
10          rolf stommelen      surtees - ford    53        + 2 laps    10
11            tim schenken      brabham - ford    50    oil pressure    14
12          françois mazet        march - ford    50        + 5 laps    23
13                max jean        march - ford    46  not classified    22
14         henri pescarolo        march - ford    45         gearbox    18
15             graham hill      brabham - ford    34        oil pipe     4
16       andrea de adamich  march - alfa romeo    31          engine    20
17         pedro rodríguez                 brm    27        ignition     5
18          clay regazzoni             ferrari    20        accident     2
19         ronnie peterson  march - alfa romeo    19          engine    12
20             denny hulme      mclaren - ford    16        ignition    11
21              jacky ickx             ferrari     4          engine     3
22       alex soler - roig        march - ford     4       fuel pump    21
