                name                    years  regular season  playoffs  total
0         bobby hull              1957 - 1972             604        62    666
1        stan mikita              1959 - 1979             541        59    600
2       steve larmer              1981 - 1993             406        45    451
3       denis savard  1980 - 1990 1995 - 1997             377        61    438
4        dennis hull              1964 - 1977             298        33    331
5     jeremy roenick              1988 - 1996             267        35    302
6        tony amonte              1994 - 2002             268        13    281
7  hubert pit martin              1967 - 1977             243        26    269
8      bill mosienko              1942 - 1955             258        10    268
9        ken wharram              1952 - 1969             252        16    268
