     rank          nation  gold  silver  bronze  total
0       1            ussr    13      10       2     25
1       2  czech republic     4       0       3      7
2       3          russia     3       3       1      7
3       4         hungary     2       4       4     10
4       5          sweden     2       2       5      9
5       6           china     2       2       4      8
6       7           italy     2       0       1      3
7       8          poland     1       1       2      4
8       9         ukraine     1       1       1      3
9      10         finland     0       3       2      5
10     11        slovakia     0       2       1      3
11     12    west germany     0       2       0      2
12     13   united states     0       0       2      2
13     14        colombia     0       0       1      1
14     14    east germany     0       0       1      1
15  total           total    30      30      30     90
