     rank             nation  gold  silver  bronze  total
0       1   uzbekistan (uzb)     5       1       3      9
1       2  south korea (kor)     3       2       5     10
2       3   kazakhstan (kaz)     2       3       2      7
3       4     pakistan (pak)     1       4       1      6
4       5     thailand (tha)     1       1       2      4
5       6  philippines (phi)     0       1       0      1
6       7        china (chn)     0       0       3      3
7       8   kyrgyzstan (kgz)     0       0       2      2
8       8        syria (syr)     0       0       2      2
9       8   tajikistan (tjk)     0       0       2      2
10     11     malaysia (mas)     0       0       1      1
11     11    palestine (ple)     0       0       1      1
12  total              total    12      12      24     48
