     rank          nation  gold  silver  bronze  total
0       1   united states    11       7       6     24
1       2            ussr     6       3       5     14
2       3      yugoslavia     3       2       2      7
3       4         finland     3       2       0      5
4       5          russia     3       0       3      6
5       6          poland     2       2       1      5
6       7       australia     2       1       1      4
7       7      kazakhstan     2       1       1      4
8       9         hungary     2       0       3      5
9      10         germany     2       0       1      3
10     11          norway     1       4       1      6
11     12    west germany     1       3       3      7
12     13           china     1       3       0      4
13     14         ukraine     1       2       4      7
14     15          sweden     1       1       4      6
15     16  czechoslovakia     1       1       1      3
16     17    south africa     1       1       0      2
17     18           italy     1       0       2      3
18     19         belarus     1       0       0      1
19     19   great britain     1       0       0      1
20     21          france     0       3       2      5
21     22        bulgaria     0       3       1      4
22     23         austria     0       1       2      3
23     24         romania     0       1       1      2
24     25          canada     0       1       0      1
25     25         denmark     0       1       0      1
26     25    east germany     0       1       0      1
27     25        slovakia     0       1       0      1
28     25        slovenia     0       1       0      1
29     30           spain     0       0       1      1
30     30     switzerland     0       0       1      1
31  total           total    46      46      46    138
