       district  s barangay  population (2010 census)  area ( has )  pop density (per km2)
0       binondo          10                     12985         66.11                19641.5
1        ermita          13                      7143        158.91                 4495.0
2    intramuros           5                      4925         67.26                 7322.3
3        malate          57                     77513        259.58                29860.9
4          paco          43                     70978        278.69                25468.4
5      pandacan          38                     73895        166.00                44515.1
6     port area           5                     57405        315.28                18207.6
7        quiapo          16                     24886         84.69                29384.8
8      sampaloc         192                    241528        513.71                47016.4
9    san andrãs          65                    115942        168.02                69004.9
10   san miguel          12                     15992         91.37                17502.5
11  san nicolas          15                     44241        163.85                27000.9
12    santa ana          34                     60952        169.42                35976.9
13   santa cruz          82                    115747        309.01                37457.4
14   santa mesa          51                     99933        261.01                38287.0
