    year                      entrant        chassis                 engine   points
0   1955           cooper car company     cooper t40   bristol straight - 6        0
1   1956                 jack brabham  maserati 250f  maserati straight - 6        0
2   1957           cooper car company     cooper t43    climax straight - 4        0
3   1957       rob walker racing team     cooper t43    climax straight - 4        0
4   1958           cooper car company     cooper t45    climax straight - 4        3
5   1959           cooper car company     cooper t51    climax straight - 4  31 (34)
6   1960           cooper car company     cooper t51    climax straight - 4       43
7   1960           cooper car company     cooper t53    climax straight - 4       43
8   1961           cooper car company     cooper t55    climax straight - 4        4
9   1961           cooper car company     cooper t58              climax v8        4
10  1962  brabham racing organisation       lotus 24              climax v8        9
11  1962  brabham racing organisation    brabham bt3              climax v8        9
12  1963  brabham racing organisation       lotus 25              climax v8       14
13  1963  brabham racing organisation    brabham bt3              climax v8       14
14  1963  brabham racing organisation    brabham bt7              climax v8       14
15  1964  brabham racing organisation    brabham bt7              climax v8       11
16  1964  brabham racing organisation   brabham bt11              climax v8       11
17  1965  brabham racing organisation   brabham bt11              climax v8        9
18  1966  brabham racing organisation   brabham bt19               repco v8  42 (45)
19  1966  brabham racing organisation   brabham bt20               repco v8  42 (45)
20  1967  brabham racing organisation   brabham bt20               repco v8  46 (48)
21  1967  brabham racing organisation   brabham bt19               repco v8  46 (48)
22  1967  brabham racing organisation   brabham bt24               repco v8  46 (48)
23  1968  brabham racing organisation   brabham bt24               repco v8        2
24  1968  brabham racing organisation   brabham bt26               repco v8        2
25  1969  brabham racing organisation  brabham bt26a            cosworth v8       14
26  1970  brabham racing organisation   brabham bt33            cosworth v8       25
