                 driver        constructor  laps  time / retired  grid
0            dan gurney    eagle - weslake    28       1:40:49.4     2
1        jackie stewart                brm    28        + 1:03.0     6
2            chris amon            ferrari    28        + 1:40.0     5
3          jochen rindt  cooper - maserati    28        + 2:13.9     4
4           mike spence                brm    27         + 1 lap    11
5             jim clark       lotus - ford    27         + 1 lap     1
6            jo siffert  cooper - maserati    27         + 1 lap    16
7          bob anderson   brabham - climax    26        + 2 laps    17
8      pedro rodrã­guez  cooper - maserati    25          engine    13
9            guy ligier  cooper - maserati    25        + 3 laps    18
10  ludovico scarfiotti            ferrari    24  not classified     9
11         jack brabham    brabham - repco    15          engine     7
12          denny hulme    brabham - repco    14          engine    14
13           jo bonnier  cooper - maserati    10          engine    12
14          graham hill       lotus - ford     3          clutch     3
15         john surtees              honda     1          engine    10
16          chris irwin                brm     1          engine    15
17          mike parkes            ferrari     0        accident     8
