    year  start     qual  rank  finish  laps
0   1946     26  123.094    13      20    47
1   1947     25  120.980    17      18    79
2   1948     22  126.396    10      14   167
3   1950      8  130.947    16      31    30
4   1951      9  131.950    30       9   178
5   1952     30  135.384    17      24    93
6   1953      6  136.024    20       9   196
7   1954     21  138.275    19      29   105
8   1955      2  139.985    13       2   200
9   1956      5  144.602     5      22   160
10  1957     22  142.439     9      15   195
11  1958      9  143.919    10       4   200
12  1959     15  142.721    18       4   200
13  1960     18  145.214     9      23   125
