                               team            truck (s)   -                       driver (s)               primary sponsor (s)   listed owner (s)         crew chief
0          billy ballew motorsports        toyota tundra  15     ted musgrave / johnny benson              red top auto auction       billy ballew     kevin starland
1          billy ballew motorsports        toyota tundra  51                    aric almirola          graceway pharmaceuticals       billy ballew     richie wauters
2               brent raymer racing         ford f - 150  85                     brent raymer                    ford drive one        pete raymer        josh raymer
3                 circle bar racing         ford f - 150  14                    rick crawford                    lilly trucking       tom mitchell   blake bainbridge
4         daisy ramirez motorsports  chevrolet silverado   1    j j yeley / dillon oliver (r)           koma chillaxation drink      daisy ramirez          dan glauz
5                        dgm racing  chevrolet silverado  12                   mario gosselin                     tiremonkeycom  michelle gosselin      george church
6     fast track racing enterprises  chevrolet silverado  48  tim bainey , jr / hermie sadler                         delgrosso    andy hillenburg      david mcclure
7                    germain racing        toyota tundra  30                      todd bodine                             geico    stephen germain  mike hillman , jr
8                        jjc racing         ford f - 150  10             jennifer jo cobb (r)                    driven for men     tom mitchell 1      rudy prickler
9        kevin harvick incorporated  chevrolet silverado   2   kevin harvick / elliott sadler        tide / hunt brothers pizza     delana harvick        doug george
10       kevin harvick incorporated  chevrolet silverado  33                     ron hornaday           longhorn / georgia boot     delana harvick          dave fuge
11           kyle busch motorsports        toyota tundra  18        kyle busch / brian ickler                      heluva! good         kyle busch      eric phillips
12           kyle busch motorsports        toyota tundra  56                    tayler malsam         talking rain / activwater        joe scott 2       dan stillman
13              norm benning racing  chevrolet silverado  57                     norm benning                             n / a       norm benning      billy wheeler
14  randy moss motorsports with htm        toyota tundra   5                     mike skinner  international trucks / monaco rv       david dollar          gene nead
15  randy moss motorsports with htm        toyota tundra  81                      david starr                            zachry         randy moss       doug wolcott
16                 red horse racing        toyota tundra   7                justin lofton (r)                       visitpitcom        tom deloach         mark rette
17                 red horse racing        toyota tundra  17                   timothy peters             k&n engineering , inc        tom deloach       jeff hensley
18         richard childress racing  chevrolet silverado   3                austin dillon (r)          bass pro shops / tracker  andy hillenburg 3     danny stockman
19                 rick ware racing  chevrolet silverado   6               donnie neuenberger                         ez slider          rick ware          rick ware
20                 rick ware racing  chevrolet silverado  47                 brett butler (r)                       fuel doctor     bobby dotter 4      gary cogswell
21                      sieg racing  chevrolet silverado  39                        ryan sieg                         waste pro        susan bates        mike garvey
22                      sieg racing  chevrolet silverado  93                       shane sieg                      s&w services           pam sieg        tony wilson
23          ss - green light racing  chevrolet silverado   7    donny lia / tony jackson , jr                       asi limited          ken white       jason miller
24          ss - green light racing  chevrolet silverado  21              chris eggleston (r)               h20 fire protection        steve urvan       butch miller
25          ss - green light racing            dodge ram  23                      jason white                      gunbrokercom        steve urvan          doug howe
26                 team gill racing            dodge ram  46                    dennis setzer                      planegutscom           joy gill         joey jones
27                 team gill racing         ford f - 150  95     johnny benson / lance fenton                      planegutscom         danny gill         danny gill
28                 thorsport racing  chevrolet silverado  13                    johnny sauter                      curb records          mike curb     joe shear , jr
29                 thorsport racing  chevrolet silverado  88                     matt crafton                           menards     rhonda thorson        bud haefele
30               turner motorsports  chevrolet silverado   4                 ricky carmichael                    monster energy   delana harvick 5        mike fritts
