           week of        tier                                                    winner                              runner - up                          semi finalists
0            1 may     tier ii                           conchita martínez 6 - 1 , 6 - 0                           martina hingis            anke huber magdalena maleeva
1            1 may     tier ii               gigi fernández martina hingis 6 - 2 , 6 - 3      conchita martínez patricia tarabini            anke huber magdalena maleeva
2            8 may     tier iv                                julie halard 6 - 4 , 6 - 4                       ludmila richterová  katarína studeníková stephanie rottier
3            8 may     tier iv    linda harvey - wild chanda rubin 6 - 7 , 6 - 3 , 6 - 2         maria lindström maria strandlund  katarína studeníková stephanie rottier
4            8 may      tier i                           conchita martínez 6 - 3 , 6 - 1                  arantxa sánchez vicario               helena suková mary pierce
5            8 may      tier i      gigi fernández natalia zvereva 3 - 6 , 7 - 6 , 6 - 4      conchita martínez patricia tarabini               helena suková mary pierce
6           15 may      tier i                     arantxa sánchez vicario 6 - 4 , 6 - 1                        magdalena maleeva           irina spîrlea natalia zvereva
7           15 may      tier i   amanda coetzer inés gorrochategui 4 - 6 , 7 - 6 , 6 - 2       larisa savchenko gabriela sabatini           irina spîrlea natalia zvereva
8           15 may     tier iv                  ludmila richterová 6 - 7 , 6 - 4 , 6 - 3                    patricia hy - boulais                lindsay lee åsa carlsson
9           15 may     tier iv         mariaan de swardt ruxandra dragomir 6 - 3 , 7 - 5  kerry - anne guse patricia hy - boulais                lindsay lee åsa carlsson
10          22 may    tier iii                   lindsay davenport 3 - 6 , 6 - 1 , 6 - 2                              kimiko date              sandrine testud yone kamio
11          22 may    tier iii        lindsay davenport mary joe fernández 6 - 2 , 6 - 3          sabine appelmans miriam oremans              sandrine testud yone kamio
12  29 may 2 weeks  grand slam                         steffi graf 7 - 5 , 4 - 6 , 6 - 0                  arantxa sánchez vicario           kimiko date conchita martínez
13  29 may 2 weeks  grand slam  gigi fernández natalia zvereva 6 - 7 (6) , 6 - 4 , 7 - 5     jana novotná arantxa sánchez vicario           kimiko date conchita martínez
