    pick              player    position     nationality               nhl team       college / junior / club team
0    183          alex haidy  right wing          canada    pittsburgh penguins   sault ste marie greyhounds (ohl)
1    184        greg rolston  right wing   united states    toronto maple leafs     powers high school (ushs - mi)
2    185  aleksandr chernykh      centre    soviet union      new jersey devils                 voskresensk (ussr)
3    186         stu grimson   left wing          canada      detroit red wings                  regina pats (whl)
4    187        thomas ahlen     defence          sweden      los angeles kings            skellefteã aik (sweden)
5    188          brian ross     defence          canada    toronto maple leafs            kitchener rangers (ohl)
6    189         kory wright  right wing   united states          winnipeg jets     dubuque fighting saints (ushl)
7    190        roger grillo     defence   united states      vancouver canucks         university of maine (ecac)
8    191           tom pratt     defence   united states         calgary flames  kimball union academy (ushs - nh)
9    192     scott shaunessy     defence   united states       quebec nordiques      st john 's school (ushs - ma)
10   193      reine karlsson   left wing          sweden       hartford whalers                sodertalje (sweden)
11   194         mark ferner     defence          canada         buffalo sabres             kamloops blazers (whl)
12   195       yves beaudoin     defence          canada    washington capitals      shawinigan cataractes (qmjhl)
13   196          milos riha   left wing  czechoslovakia  minnesota north stars         vitkovice (czechoslovakia)
14   197    dave shellington   left wing          canada     new york islanders              cornwall royals (ohl)
15   198    thomas rundqvist   left wing          sweden     montreal canadiens                  karlstad (sweden)
16   199       dominik hasek  goaltender  czechoslovakia    chicago black hawks         pardubice (czechoslovakia)
17   200    warren yadlowski      centre          canada        edmonton oilers            calgary wranglers (whl)
18   201      bill mccormack      centre   united states    philadelphia flyers     westminster school (ushs - ct)
19   202    paul fitzsimmons     defence   united states          boston bruins     northeastern university (ecac)
