                                      team                car (s)   -           driver (s)            primary sponsor (s)                          listed owner (s)        crew chief
0                               bam racing          dodge charger  49         ken schrader                        schwans                       beth ann morganthau       david hyder
1                        bill davis racing          dodge charger  22         scott wimmer                caterpillar inc                                bill davis    derrick finley
2                        bill davis racing          dodge charger  93         casey atwood         sirius satellite radio                                bill davis        lee mccall
3   chip ganassi racing with felix sabates          dodge charger  40      sterling marlin                    coors light  felix sabates chip ganassi floyd ganassi       steve boyer
4   chip ganassi racing with felix sabates          dodge charger  41          casey mears             target corporation  felix sabates chip ganassi floyd ganassi     jimmy elledge
5   chip ganassi racing with felix sabates          dodge charger  42       jamie mcmurray              texaco / havoline  felix sabates chip ganassi floyd ganassi      donnie wingo
6                     dale earnhardt , inc  chevrolet monte carlo   8  dale earnhardt , jr                      budweiser                          teresa earnhardt      pete rondeau
7                     dale earnhardt , inc  chevrolet monte carlo  15      michael waltrip                napa auto parts                          teresa earnhardt    tony eury , jr
8                     evernham motorsports          dodge charger   9          kasey kahne                  dodge dealers                              ray evernham  tommy baldwin jr
9                     evernham motorsports          dodge charger  19      jeremy mayfield                  dodge dealers                              ray evernham     kenny francis
10                   front row motorsports  chevrolet monte carlo  92  stanton barrett (r)         first trust portfolios                               bob jenkins        fred wanke
11                         haas cnc racing  chevrolet monte carlo   0           mike bliss                        netzero                                 gene haas     bootie barker
12                    hendrick motorsports  chevrolet monte carlo   5       kyle busch (r)                kellogg company    rick hendrick joe hendrick jeff gordon    alan gustafson
13                    hendrick motorsports  chevrolet monte carlo  24          jeff gordon                         dupont    rick hendrick joe hendrick jeff gordon     robbie loomis
14                    hendrick motorsports  chevrolet monte carlo  25        brian vickers                           gmac    rick hendrick joe hendrick jeff gordon      lance mcgrew
15                    hendrick motorsports  chevrolet monte carlo  48       jimmie johnson                        lowe 's    rick hendrick joe hendrick jeff gordon        chad knaus
16                        joe gibbs racing  chevrolet monte carlo  11        jason leffler                          fedex                       j d gibbs joe gibbs       dave rogers
17                        joe gibbs racing  chevrolet monte carlo  18        bobby labonte           interstate batteries                       j d gibbs joe gibbs   steve addington
18                        joe gibbs racing  chevrolet monte carlo  20         tony stewart                 the home depot                       j d gibbs joe gibbs    greg zipadelli
19                 kirk shelmerdine racing            ford taurus  27     kirk shelmerdine                   freddie b 's                          kirk shelmerdine       phil harris
20                           mach 1 racing  chevrolet monte carlo  34         randy lajoie                dimension films                             chris edwards      mike steurer
21                         mbv motorsports  chevrolet monte carlo   1         joe nemechek             united states army                 james rocco nelson bowers    ryan pemberton
22                         mbv motorsports  chevrolet monte carlo  10          scott riggs                      valvoline                 james rocco nelson bowers     doug randolph
23            morgan - mcclure motorsports  chevrolet monte carlo   4         mike wallace                      lucas oil                             larry mcclure     chris carrier
24                  penske - jasper racing          dodge charger   2        rusty wallace                    miller lite                   roger penske doug bawel      larry carter
25                  penske - jasper racing          dodge charger  12          ryan newman                         alltel                   roger penske doug bawel      matt borland
26                  penske - jasper racing          dodge charger  77    travis kvapil (r)                  eastman kodak                   roger penske doug bawel      shane wilson
27                       petty enterprises          dodge charger  43           jeff green                       cheerios                  richard petty kyle petty     greg steadman
28                       petty enterprises          dodge charger  45           kyle petty              georgia - pacific                  richard petty kyle petty      paul andrews
29                     peak fitness racing            ford taurus  66        hermie sadler                   peak fitness                                 jeff stec        james ince
30                              ppc racing            ford taurus  14        john andretti                  victory brand                               greg pollex  dave charpentier
31                         ppi motorsports  chevrolet monte carlo  32  bobby hamilton , jr                           tide                                 cal wells      harold holly
32                raabe racing enterprises  chevrolet monte carlo  73     eric mcclure (r)                   arc dehooker                                  ed raabe        tim brewer
33                              r&j racing          dodge charger  37         kevin lepage      bospoker / patron tequila                               john carter  billy poindexter
34                richard childress racing  chevrolet monte carlo   7          dave blaney                 jack daniel 's                         richard childress    phillipe lopez
35                richard childress racing  chevrolet monte carlo  29        kevin harvick                  gm goodwrench                         richard childress      todd berrier
36                richard childress racing  chevrolet monte carlo  31          jeff burton              cingular wireless                         richard childress      kevin hamlin
37                robby gordon motorsports  chevrolet monte carlo   7         robby gordon  harrah 's / fruit of the loom                                 jim smith        bob temple
38                     robert yates racing            ford taurus  38       elliott sadler                         m&m 's                              robert yates      todd parrott
39                     robert yates racing            ford taurus  88         dale jarrett                            ups                              robert yates         mike ford
40                 victory in jesus racing          dodge charger  89      morgan shepherd              racing with jesus                            cindy shepherd        troy kelly
