            ballarat fl  wins  byes  losses  draws  against
0                 redan    13     2       3      0     1013
1                darley    13     2       3      0     1055
2            east point    13     2       3      0     1249
3        lake wendouree    12     2       4      0     1160
4               sunbury    11     2       5      0     1167
5              ballarat     9     2       7      0     1147
6          melton south     6     2      10      0     1694
7   north ballarat city     4     2      12      0     1646
8                melton     4     2      12      0     1668
9         bacchus marsh     2     2      14      0     1836
10           sebastapol     1     2      15      0     2018
