                 stadium  capacity (at time of closure)        city        country  closed
0   the national stadium                          53000     cardiff          wales    1997
1         lansdowne road                          49000      dublin        ireland    2007
2             petco park                          42445   san diego  united states    2010
3          athletic park                          39000  wellington    new zealand    1999
4             carisbrook                          29000     dunedin    new zealand    2011
5         stubhub center                          27000      carson  united states    2007
6            loftus road                          18500      london        england    2001
7     meadowbank stadium                          16500   edinburgh       scotland    2006
8      racecourse ground                          15500     wrexham          wales    2009
9     stade jean - bouin                          12000       paris         france    2010
10          edgeley park                          10900   stockport        england    2012
11               firhill                          10887     glasgow       scotland    2012
