   year    award ceremony                                          category                         nominee     result
0  2011        tony award                                      best musical                    best musical  nominated
1  2011        tony award  best performance by a leading actor in a musical                norbert leo butz        won
2  2011        tony award                                 best sound design            steve canyon kennedy  nominated
3  2011        tony award                               best orchestrations    marc shaiman and larry blank  nominated
4  2011  drama desk award                    outstanding actor in a musical                norbert leo butz        won
5  2011  drama desk award           outstanding featured actor in a musical                       tom wopat  nominated
6  2011  drama desk award         outstanding featured actress in a musical                    kerry butler  nominated
7  2011  drama desk award                                 outstanding music                    marc shaiman  nominated
8  2011  drama desk award                                outstanding lyrics  scott wittman and marc shaiman  nominated
9  2011  drama desk award                        outstanding orchestrations    marc shaiman and larry blank  nominated
