    district                                incumbent       party  first elected                             result                                       candidates
0    texas 1                            wright patman  democratic           1928                       re - elected                      wright patman (d) unopposed
1    texas 2         john dowdy redistricted from 7th  democratic           1952                       re - elected                         john dowdy (d) unopposed
2    texas 3  joe r pool redistricted from at - large  democratic           1962                       re - elected        joe r pool (d) 53.4% bill hayes (r) 46.6%
3    texas 4                              ray roberts  democratic           1962                       re - elected                        ray roberts (d) unopposed
4    texas 4  lindley beckworth redistricted from 3rd  democratic           1956  lost renomination democratic loss                        ray roberts (d) unopposed
5    texas 5                             earle cabell  democratic           1964                       re - elected    earle cabell (d) 61.0% duke burgess (r) 39.0%
6    texas 6                            olin e teague  democratic           1946                       re - elected                      olin e teague (d) unopposed
7    texas 8                      lera millard thomas  democratic           1966            retired democratic hold  robert c eckhardt (d) 92.3% w d spayne (r) 7.7%
8    texas 9        jack brooks redistricted from 2nd  democratic           1952                       re - elected                        jack brooks (d) unopposed
9    texas 9                         clark w thompson  democratic           1947            retired democratic loss                        jack brooks (d) unopposed
10  texas 12                               jim wright  democratic           1954                       re - elected                         jim wright (d) unopposed
11  texas 14                        john andrew young  democratic           1956                       re - elected                  john andrew young (d) unopposed
12  texas 15                         kika de la garza  democratic           1964                       re - elected                   kika de la garza (d) unopposed
13  texas 16                          richard c white  democratic           1964                       re - elected                    richard c white (d) unopposed
14  texas 17                            omar burleson  democratic           1946                       re - elected                      omar burleson (d) unopposed
15  texas 18                          walter e rogers  democratic           1950            retired republican gain         bob price (r) 59.5% dee miller (d) 40.5%
16  texas 19                           george h mahon  democratic           1934                       re - elected                     george h mahon (d) unopposed
17  texas 21                               o c fisher  democratic           1942                       re - elected                         o c fisher (d) unopposed
