    round  pick  overall               name          position            college
0       1     2        2      billy vessels          halfback           oklahoma
1       2     1       14     bernie flowers               end             purdue
2       3     1       26       buck mcphail          fullback           oklahoma
3       4     1       38         tom catlin            center           oklahoma
4       5     1       50        jack little  offensive tackle          texas a&m
5       6     1       62          jim sears       quarterback                usc
6       7     1       74         bill athey             guard             baylor
7       8     1       86        jim prewett            tackle              tulsa
8       9     1       98          bob blair         tight end                tcu
9      10     1      110          john cole          halfback           arkansas
10     11     1      122         gene rossi          halfback         cincinnati
11     12     1      134        kaye vaughn             guard              tulsa
12     13     1      146     bobby moorhead          halfback       georgia tech
13     14     1      158   frank continetti             guard  george washington
14     15     1      170       buddy sutton          halfback           arkansas
15     16     1      182         jim currin               end             dayton
16     17     1      194     george rambour            tackle          dartmouth
17     18     1      206        leroy labat          halfback                lsu
18     19     1      218        bill powell          halfback         california
19     20     1      230         pete russo            tackle            indiana
20     21     1      242        frank kirby            tackle           bucknell
21     22     1      254        merlin gish            center             kansas
22     23     1      266     mike houseplan             guard             tulane
23     24     1      278    monte brethauer    defensive back             oregon
24     25     1      290      joe szombathy               end           syracuse
25     26     1      302     scott prescott            center          minnesota
26     27     1      314         ray graves          halfback          texas a&m
27     28     1      326          joe sabol          halfback               ucla
28     29     1      338  jack alessandrini             guard         notre dame
29     30     1      350          tom roche            tackle       northwestern
