     res           record              opponent                         method                                             event  round   time                                  location
0   loss  27 - 11 - 1 (1)        mamed khalidov  submission (guillotine choke)                                            ksw 23      1   2:09              gdansk , ergo arena , poland
1   loss  27 - 10 - 1 (1)          brock larson           decision (unanimous)                                        one fc : 8      3   5:00      singapore , singapore indoor stadium
2    win   27 - 9 - 1 (1)            denis kang         tko (knee to the body)                                          dream 18      1   0:50     saitama super arena , saitama , japan
3    win   26 - 9 - 1 (1)          ryo kawamura                     ko (punch)                            one fc : rise of kings      1   4:40                       kallang , singapore
4    win   25 - 9 - 1 (1)         jae young kim               decision (split)                               road fc 9: beatdown      3   5:00      wonju chiak indoor gym , south korea
5     nc   24 - 9 - 1 (1)   yoshiyuki nakanishi         nc (accidental injury)                         one fc : war of the lions      1   2:08                       kallang , singapore
6   loss       24 - 9 - 1           tim kennedy  submission (rear naked choke)                 strikeforce : feijao vs henderson      1   3:41           columbus , ohio , united states
7   loss       24 - 8 - 1        tatsuya mizuno            submission (kimura)                                          dream 15      1   7:23                 saitama , saitama , japan
8   loss       24 - 7 - 1         robbie lawler                     ko (punch)                               strikeforce : miami      1   3:33         sunrise , florida , united states
9    win       24 - 6 - 1          kazuo misaki                  tko (punches)                                   dynamite!! 2009      1   1:49                 saitama , saitama , japan
10  loss       23 - 6 - 1           paulo filho            submission (armbar)                                          dream 10      1   2:35                 saitama , saitama , japan
11   win       23 - 5 - 1             mark hunt                   ko (punches)                                   dynamite!! 2008      1   0:18                 saitama , saitama , japan
12  loss       22 - 5 - 1        gegard mousasi    submission (triangle choke)                                           dream 6      1   1:28                 saitama , saitama , japan
13   win       22 - 4 - 1      kazushi sakuraba                   ko (punches)                                           dream 4      1   1:30                          yokohama , japan
14   win       21 - 4 - 1           dae won kim           tko (knee & punches)                                           dream 3      1   4:08                 saitama , saitama , japan
15   win       20 - 4 - 1      yosuke nishijima                  tko (punches)                     k - 1 premium 2007 dynamite!!      1   1:49                             osaka , japan
16   win       19 - 4 - 1           fabio silva                  tko (punches)                                        hero 's 10      1   1:00                          yokohama , japan
17   win       18 - 4 - 1         bernard ackah                  tko (punches)                                         hero 's 9      1   2:13                          yokohama , japan
18  loss       17 - 4 - 1         dong sik yoon            submission (armbar)                              k - 1 dynamite!! usa      2   1:17  los angeles , california , united states
19   win       17 - 3 - 1     yoshiki takahashi                  tko (punches)                                         hero 's 8      1   2:36                            nagoya , japan
20  loss       16 - 3 - 1     yoshihiro akiyama            submission (armbar)                                         hero 's 7      1   1:58                          yokohama , japan
21   win       16 - 2 - 1          shungo oyama                  tko (punches)                                         hero 's 7      1   1:04                          yokohama , japan
22   win       15 - 2 - 1        crosley gracie                  tko (punches)                                         hero 's 6      1   9:12                             tokyo , japan
23   win       14 - 2 - 1           ian freeman                   ko (punches)                                      cage rage 17      1   0:17                          london , england
24   win       13 - 2 - 1          shungo oyama                      tko (cut)                                         hero 's 4      1   2:51                             tokyo , japan
25   win       12 - 2 - 1    evangelista santos                   ko (punches)                                      cage rage 15      2   3:51                          london , england
26   win       11 - 2 - 1        fabio piamonte                   ko (punches)                                      cage rage 13      1   0:51                          london , england
27   win       10 - 2 - 1           paul cahoon                  tko (punches)                                cfc 4 cage carnage      1  n / a                       liverpool , england
28   win        9 - 2 - 1         bob schrijber           decision (unanimous)  it 's showtime boxing & mma event 2005 amsterdam      2   5:00                   amsterdam , netherlands
29   win        8 - 2 - 1          ladislav zak          tko (corner stoppage)                                queens fight night      1   0:37                   eindhoven , netherlands
30   win        7 - 2 - 1       matthias riccio                  tko (punches)                                      cage rage 10      1   3:01                          london , england
31  loss        6 - 2 - 1        rodney glunder                   ko (punches)                     it 's showtime 2004 amsterdam      2   4:43                   amsterdam , netherlands
32   win        6 - 1 - 1       slavomir molnar                   ko (punches)                                  heaven or hell 4      1  n / a                   prague , czech republic
33   win        5 - 1 - 1  alexandr garkushenko                   ko (punches)                      2h2h 13: russia vs the world      1   6:57                 saint petersburg , russia
34  loss        4 - 1 - 1         bob schrijber                   ko (punches)                          2h2h 11: simply the best      1   4:04                   rotterdam , netherlands
35   win        4 - 0 - 1            mika ilmen                     ko (punch)           it 's showtime - as usual / battle time      1   0:35                     haarlem , netherlands
36   win        3 - 0 - 1           paul cahoon          tko (corner stoppage)                   rings holland saved by the bell      2   2:07                   amsterdam , netherlands
37   win        2 - 0 - 1           husein cift                   ko (punches)                          hoogwoud free fight gala      1   1:50                    hoogwoud , netherlands
38  draw        1 - 0 - 1        rodney glunder                           draw       rings holland : the kings of the magic ring      2   5:00                     utrecht , netherlands
39   win            1 - 0         jordy jonkers              tko (palm strike)                           battle of amstelveen ii      2   3:37                  amstelveen , netherlands
