          tournament     surface         week                                                      winners              finalists                           semifinalists
0       indian wells        hard     march 10                  ferreira / kafelnikov 3 - 6 , 7 - 5 , 6 - 4          bryan / byran       paes / rikl björkman / woodbridge
1              miami        hard     march 17                               federer / mirnyi 7 - 5 , 6 - 3            paes / rikl        gonzález / robredo bryan / byran
2        monte carlo        clay     april 14                  bhupathi / mirnyi 6 - 4 , 3 - 6 , 7 - 6 (6)       llodra / santoro       johnson / ullyett čermák / friedl
3               rome        clay        may 5                               arthurs / hanley 6 - 1 , 6 - 3       llodra / santoro            damm / suk bhupathi / mirnyi
4            hamburg        clay       may 12                          knowles / nestor 6 - 4 , 7 - 6 (10)      bhupathi / mirnyi               paes / rikl bryan / byran
5  canada (montréal)        hard     august 4                          bhupathi / mirnyi 6 - 3 , 7 - 6 (4)  björkman / woodbridge                damm / suk bryan / byran
6         cincinnati        hard    august 11                              bryan / bryan 7 - 5 , 7 - 6 (5)       arthurs / hanley      bhupathi / mirnyi knowles / nestor
7             madrid    hard (i)   october 13                      bhupathi / mirnyi 6 - 2 , 2 - 6 , 6 - 3        black / ullyett    palmer / rikl costa / martin verkerk
8              paris  carpet (i)   october 27                       arthurs / hanley 6 - 3 , 1 - 6 , 6 - 3       llodra / santoro  knowles / nestor björkman / woodbridge
9    houston ( tmc )        hard  november 23  bryan / byran 6 - 7 (6) , 6 - 3 , 3 - 6 , 7 - 6 (3) , 6 - 4       llodra / santoro      knowles / nestor etlis / rodríguez
