                  coach        years  seasons  lost  pct
0              no coach    1902 - 06        5    15  545
1       frank castleman    1907 - 12        6    22  592
2         john mcfadden    1913 - 14        2     9  526
3       james n ashmore    1915 - 17        3    10  615
4     melbourne c evans         1918        1     2  818
5             joe mills    1919 - 24        6    24  556
6      howard beresford    1925 - 33        9    52  594
7             henry iba         1934        1     8  529
8            earl clark         1935        1     9  250
9         forrest b cox    1936 - 50       13    89  623
10               hb lee    1951 - 56        6    74  459
11  russell sox walseth    1957 - 76       20   245  516
12           bill blair    1977 - 81        5    69  493
13             tom apke    1982 - 86        5    81  421
14           tom miller    1986 - 90        4    79  307
15       joe harrington    1990 - 96        6    85  459
16       ricardo patton  1996 - 2006       11   160  535
17         jeff bzdelik  2007 - 2010        3    58  383
18            tad boyle  2010 - pres        3    36  657
19               totals       totals      110  1116  513
