    rank          nation  gold  silver  bronze  total
0      1   united states    24      12       8     44
1      2          russia     5       5       6     16
2      3          canada     1       2       7     10
3      4           japan     1       4       3      8
4      5         estonia     1       2       1      4
5      5           italy     0       3       1      4
6      6     south korea     0       0       3      3
7      7          france     0       1       1      2
8      7         ukraine     0       1       1      2
9      8           spain     0       1       0      1
10     8           china     0       1       0      1
11     8  czech republic     0       0       1      1
