    draw                                     artist                song  points  place
0      1                jonas čepulis and skirmantė   uosilėli žaliasai      49      7
1      2                                     alanas       geras jausmas      35      9
2      3                        violeta tarasovienė      aš būsiu šalia      74      3
3      4                                     milana    ar tu mane matei      30     12
4      5                           vilius tarasovas  aš tik tavim tikiu      64      4
5      6                                    augustė   not the best time      41      8
6      7  darius pranckevičius and violeta valskytė     nelytėta viltis      78      2
7      8                                     kamilė       no way to run      33     10
8      9                                  sasha son   pasiklydęs žmogus      92      1
9     10                             vita rusaitytė  dar pabūkim drauge      33     10
10    11                                 69 danguje    meilės simfonija      62      5
11    12                        egidijus sipavičius           per mažai      56      6
