                            distribution   x86 - 64                              ia64    ppc64                           sparc32                    hppa                     mips                              s390                             s390x                   alpha                    m68k
0                             arch linux        yes                                no       no                                no                      no                       no                                no                                no                      no                      no
1                              backtrack        yes                                no       no                                no                      no                       no                                no                                no                      no                      no
2                            bodhi linux        yes                                no       no                                no                      no                       no                                no                                no                      no                      no
3                                 centos        yes  discontinued 3.5 - 3.8 4.1 - 4.7       no                          beta 4.2                      no                       no  discontinued 3.5 - 3.8 4.1 - 4.7  discontinued 3.5 - 3.8 4.1 - 4.7  discontinued 4.2 - 4.3                      no
4                                 chakra        yes                                no       no                                no                      no                       no                                no                                no                      no                      no
5                                   crux        yes                                no       no                                no                      no                       no                                no                                no                      no                      no
6                                 debian  yes 4.0 +                         yes 3.0 +      yes             discontinued on lenny  discontinued 3.0 - 5.0                yes 3.0 +                         yes 3.0 +                         yes 7.0 +  discontinued 2.1 - 5.0  discontinued 2.0 - 3.1
7                                 fedora        yes        discontinued from fedora 9      yes                                no                      no  inactive from fedora 13                                no                               yes                      no                      no
8                                 finnix        yes                                no      yes                                no                      no                       no                                no                                no                      no                      no
9                             frugalware        yes                                no       no                                no                      no                       no                                no                                no                      no                      no
10                                gentoo        yes                               yes      yes                               yes                     yes                      yes                               yes                               yes                     yes                     yes
11                            kali linux        yes                                no       no                                no                      no                       no                                no                                no                      no                      no
12                                 mepis        yes                                no       no                                no                      no                       no                                no                                no                      no                      no
13                               mintppc         no                                no      yes                                no                      no                       no                                no                                no                      no                      no
14                          oes2 - linux        yes                                no       no                                no                      no                       no                               yes                                no                      no                      no
15                              opensuse        yes                                no      yes                                no                      no                       no                                no                                no                      no                      no
16                               openwrt         no                                no       no                                no                      no                      yes                                no                                no                      no                      no
17                          oracle linux        yes                               yes       no                                no                      no                       no                                no                                no                      no                      no
18                        red flag linux        yes                               yes       no                                no                      no                       no                                no                                no                      no                      no
19                         red hat linux         no            discontinued 7.1 - 7.2       no  discontinued 4.0 - 4.2 5.1 - 6.2                      no         test release 5.1                  discontinued 7.2                  discontinued 7.1  discontinued 2.1 - 7.1        test release 5.1
20              red hat enterprise linux    yes 3 +              discontinued 2.1 - 5  yes 3 +                                no                      no                       no                discontinued 3 - 4                           yes 3 +                      no                      no
21                         rxart desktop         no                               yes       no                                no                      no                       no                                no                                no                      no                      no
22                               porteus        yes                               yes       no                                no                      no                       no                                no                                no                      no                      no
23                      scientific linux        yes                               yes       no                                no                      no                       no                                no                                no                      no                      no
24                                   shr         no                                no       no                                no                      no                       no                                no                                no                      no                      no
25                             slackware        yes                                no       no                      discontinued                      no                       no                               yes                               yes        discontinued 8.1                      no
26               source mage gnu / linux        yes                                no       no                                no                      no                       no                                no                                no                      no                      no
27          suse linux enterprise server        yes                               yes      yes                                no                      no                       no                                no                               yes                      no                      no
28                         tor - ramdisk        yes                                no       no                                no                      no                      yes                                no                                no                      no                      no
29  ubuntu / kubuntu / xubuntu / lubuntu        yes                               yes       no                                no                      no                       no                                no                                no                      no                      no
30                                  xbmc         no                                no       no                                no                      no                       no                                no                                no                      no                      no
31                      yellow dog linux         no                                no      yes                                no                      no                       no                                no                                no                      no                      no
32                          distribution   x86 - 64                              ia64    ppc64                           sparc32                    hppa                     mips                              s390                             s390x                   alpha                    m68k
